Name,GP,FGM,FGA,FG%,FGM/G,FGA/G
"#05 Curta, Vinny",25,191,402,0.475,7.6,16.1
"#21 Qualley, Jackson",25,144,363,0.397,5.8,14.5
"#02 Kogelnik, Hannes",25,135,360,0.375,5.4,14.4
"#13 Johnson, Ky-Sean",23,114,258,0.442,5.0,11.2
"#10 Stice, Zachary",25,87,195,0.446,3.5,7.8
"#35 Simms, Patrick",25,52,104,0.5,2.1,4.2
"#22 Grumhaus, Tyler",24,48,92,0.522,2.0,3.8
"#44 Geiman, Brad",25,47,68,0.691,1.9,2.7
"#25 Bebee, Will",25,45,76,0.592,1.8,3.0
"#33 Walser, Morgan",25,22,58,0.379,0.9,2.3
"#24 Gulve, Anthony",25,20,46,0.435,0.8,1.8
"#54 Jones, Derek",24,20,50,0.4,0.8,2.1
"#42 Brookens, Christian",23,13,41,0.317,0.6,1.8
"#04 Boehm, Griffin",25,10,28,0.357,0.4,1.1
"#11 Moynihan, Ant",11,10,39,0.256,0.9,3.5
"#23 Dubow, Will",25,4,8,0.5,0.2,0.3
"#15 Jacobson, Noah",15,4,14,0.286,0.3,0.9
"#45 Keller, Dawson",14,1,8,0.125,0.1,0.6
"#12 Leder, Jacob",11,1,17,0.059,0.1,1.5
"#03 Breshears, Jackson",18,0,8,0.0,0.0,0.4
"#03 Conran, Jake",7,0,2,0.0,0.0,0.3
"#03 Vest, Brady",5,0,5,0.0,0.0,1.0
