Opponent,Date,Score,MAR,FG,FG PCT,3FG,3FG PCT,FT,FT PCT,RB,AST,TO,BLK,STL,PF
Nebraska Wesleyan,11/08/18,90-143,-53,29-91/64-92,.319/.696,16-62/10-18,.258/.556,16-28/5-13,.571-.385,41/62 -21,14/48,23/18,4/6,10/17,18/24
Eureka,11/13/18,131-108,23,37-89/36-83,.416/.434,26-63/8-32,.413/.250,31-44/28-36,.705-.778,63/47 16,23/22,22/15,2/2,6/12,28/31
Emmaus,11/15/18,164-107,57,54-110/47-88,.491/.534,42-88/5-16,.477/.313,14-19/8-12,.737-.667,52/49 3,42/22,12/29,8/0,19/6,16/16
Central,11/20/18,96-105,-9,32-114/44-76,.281/.579,20-89/0-0,.225/NaN,12-21/17-28,.571-.607,57/69 -12,18/34,10/27,9/7,16/6,28/19
Wright State-Lake,11/25/18,177-129,48,59-119/52-89,.496/.584,31-73/11-22,.425/.500,28-36/14-22,.778-.636,63/44 19,33/26,14/29,4/6,16/10,21/27
Lake Forest,11/30/18,108-100,8,37-95/38-68,.389/.559,18-55/11-27,.327/.407,16-22/13-22,.727-.591,48/51 -3,16/26,12/27,3/4,14/9,20/20
Lawrence University,12/01/18,122-107,15,40-86/43-73,.465/.589,18-48/7-12,.375/.583,24-30/14-18,.800-.778,40/40 0,16/26,6/18,5/1,9/1,19/26
Cornell College,12/05/18,121-104,17,41-89/42-76,.461/.553,23-51/10-21,.451/.476,16-24/10-17,.667-.588,49/43 6,23/29,12/18,7/0,8/6,14/19
Knox,12/08/18,129-61,68,42-94/23-45,.447/.511,25-66/1-2,.379/.500,20-28/14-25,.714-.560,47/40 7,30/18,10/41,8/1,30/4,22/21
Colorado College,12/09/18,140-107,33,49-109/46-78,.450/.590,24-68/2-3,.353/.667,18-30/13-20,.600-.650,46/57 -11,24/36,15/40,12/2,26/7,19/24
Illinois College,12/16/18,107-81,26,36-85/32-70,.424/.457,15-50/7-21,.300/.333,20-29/10-14,.690-.714,43/55 -12,18/22,8/30,5/3,15/4,17/23
Monmouth College,01/02/19,88-116,-28,33-84/43-56,.393/.768,12-47/0-2,.255/.000,10-13/30-36,.769-.833,26/42 -16,16/27,17/25,2/4,14/7,27/15
Ripon College,01/05/19,109-111,-2,39-80/43-64,.488/.672,18-45/8-18,.400/.444,13-20/17-33,.650-.515,33/41 -8,19/30,12/19,0/2,12/6,28/15
Illinois College,01/08/19,106-95,11,32-74/36-70,.432/.514,16-48/8-19,.333/.421,26-40/15-25,.650-.600,42/48 -6,23/25,9/18,4/1,7/5,23/27
Lawrence,01/12/19,135-104,31,46-89/38-77,.517/.494,26-55/2-7,.473/.286,17-21/26-32,.810-.813,37/48 -11,25/22,15/27,13/2,20/10,21/18
Cornell College,01/16/19,123-75,48,42-106/25-73,.396/.342,19-61/3-19,.311/.158,20-29/22-28,.690-.786,64/56 8,18/10,12/31,13/7,20/4,26/21
Knox,01/19/19,126-87,39,44-101/39-58,.436/.672,22-66/1-3,.333/.333,16-24/8-13,.667-.615,43/43 0,25/27,11/36,4/4,22/6,19/21
Saint Norbert,01/25/19,102-96,6,34-74/39-67,.459/.582,19-48/5-13,.396/.385,15-21/13-28,.714-.464,41/38 3,21/29,18/16,6/1,7/6,23/22
Ripon,01/26/19,107-92,15,34-81/34-65,.420/.523,17-49/5-14,.347/.357,22-31/19-26,.710-.731,37/49 -12,19/24,6/22,6/4,11/4,22/18
Beloit,01/31/19,110-83,27,37-91/36-71,.407/.507,15-56/0-2,.268/.000,21-41/11-31,.512-.355,59/54 5,24/21,18/31,10/2,20/10,26/29
Monmouth College,02/02/19,107-94,13,33-68/36-78,.485/.462,19-41/2-8,.463/.250,22-31/20-30,.710-.667,38/51 -13,18/17,12/14,9/2,9/8,23/24
St. Norbert,02/09/19,97-116,-19,31-74/42-67,.419/.627,16-46/6-13,.348/.462,19-23/26-33,.826-.788,27/47 -20,13/22,14/17,3/4,9/6,29/19
Beloit,02/13/19,121-104,17,42-91/42-76,.462/.553,18-53/2-4,.340/.500,19-29/18-29,.655-.621,42/52 -10,17/21,19/32,3/0,18/7,27/20
Lake Forest,02/16/19,125-119,6,37-78/39-67,.474/.582,21-52/18-31,.404/.581,30-38/23-33,.789-.697,34/45 -11,22/30,12/29,2/0,14/8,25/26
Lake Forest,02/22/19,77-99,-22,28-70/40-70,.400/.571,15-44/6-25,.341/.240,6-14/13-18,.429-.722,30/48 -18,12/27,19/19,3/3,9/10,18/18
