Name,GP,MIN,MIN/G
"#05 Curta, Vinny",25,470,18.8
"#02 Kogelnik, Hannes",25,467,18.7
"#21 Qualley, Jackson",25,458,18.3
"#10 Stice, Zachary",25,420,16.8
"#44 Geiman, Brad",25,413,16.5
"#22 Grumhaus, Tyler",24,370,15.4
"#13 Johnson, Ky-Sean",23,362,15.7
"#25 Bebee, Will",25,344,13.8
"#35 Simms, Patrick",25,331,13.2
"#33 Walser, Morgan",25,259,10.4
"#04 Boehm, Griffin",25,244,9.8
"#42 Brookens, Christian",23,186,8.1
"#24 Gulve, Anthony",25,184,7.4
"#23 Dubow, Will",25,111,4.4
"#54 Jones, Derek",24,89,3.7
"#03 Breshears, Jackson",18,63,3.5
"#15 Jacobson, Noah",15,53,3.5
"#11 Moynihan, Ant",11,52,4.7
"#12 Leder, Jacob",11,51,4.6
"#45 Keller, Dawson",14,37,2.6
"#03 Conran, Jake",7,21,3.0
"#03 Vest, Brady",5,15,3.0
