Name,GP,AST,TO,AST/TO Ratio
"#54 Jones, Derek",24,10,2,5.0
"#04 Boehm, Griffin",25,17,6,2.83
"#05 Curta, Vinny",25,152,62,2.45
"#24 Gulve, Anthony",25,11,5,2.2
"#03 Breshears, Jackson",18,4,3,1.33
"#42 Brookens, Christian",23,27,17,1.59
"#03 Conran, Jake",7,1,1,1.0
"#23 Dubow, Will",25,9,9,1.0
"#22 Grumhaus, Tyler",24,41,21,1.95
"#15 Jacobson, Noah",15,7,5,1.4
"#13 Johnson, Ky-Sean",23,31,24,1.29
"#02 Kogelnik, Hannes",25,44,29,1.52
"#11 Moynihan, Ant",11,6,5,1.2
"#21 Qualley, Jackson",25,84,50,1.68
"#35 Simms, Patrick",25,32,29,1.1
"#10 Stice, Zachary",25,22,17,1.29
"#03 Vest, Brady",5,1,1,1.0
