Statistic,Grinnell College,Opponents OPP
Scoring,Scoring,Scoring
Total Points TOT,2918,2543
Points Per Game PPG,116.7,101.7
Scoring Margin Margin,15.0,--
Shooting,Shooting,Shooting
FG: Made-Attempted FGM-FGA,968-2242,999-1797
FG: Percentage FG%,.432,.556
FG: Per Game FGM/G,38.7,40.0
3PT: Made-Attempted 3PT-3PA,511-1424,138-352
3PT: Percentage 3PT%,.359,.392
3PT: Per Game 3PT/G,20.4,5.5
FT: Made-Attempted FTM-FTA,471-686,407-622
FT: Percentage FT%,.687,.654
FT: Per Game FT/G,18.8,16.3
Rebounding,Rebounding,Rebounding
Total TOT,1102,1219
Per Game RPG,44.1,48.8
Margin,-4.7,--
Assists,Assists,Assists
Total TOT,529,641
Per Game APG,21.2,25.6
Turnovers,Turnovers,Turnovers
Total TOT,338,628
Per Game TO/G,13.5,25.1
Margin,11.6,--
Assist/Turnover Ratio A/TO,1.6,1.0
Points Off Turnovers PTS OFF TO,32.0,16.0
Steals,Steals,Steals
Total TOT,361,179
Per Game STL/G,14.4,7.2
Blocks,Blocks,Blocks
Total TOT,145,68
Per Game BLK/G,5.8,2.7
Attendance,Attendance,Attendance
Total TOT,9297,6464
Per Game AVG,13-715,11-588
