#,Player,GP,GS,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0
#,Player,GP,GS,MIN,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG
5.0,"Curta, Vinny 05 Curta, Vinny",25,20.0,470,191,402,0.475,31,118,0.263,212,266,0.797,625,25.0
21.0,"Qualley, Jackson 21 Qualley, Jackson",25,5.0,458,144,363,0.397,81,228,0.355,73,106,0.689,442,17.7
2.0,"Kogelnik, Hannes 02 Kogelnik, Hannes",25,6.0,467,135,360,0.375,112,303,0.37,35,40,0.875,417,16.7
13.0,"Johnson, Ky-Sean 13 Johnson, Ky-Sean",23,18.0,362,114,258,0.442,72,190,0.379,33,45,0.733,333,14.5
10.0,"Stice, Zachary 10 Stice, Zachary",25,20.0,420,87,195,0.446,83,188,0.441,1,2,0.5,258,10.3
35.0,"Simms, Patrick 35 Simms, Patrick",25,4.0,331,52,104,0.5,18,50,0.36,29,45,0.644,151,6.0
22.0,"Grumhaus, Tyler 22 Grumhaus, Tyler",24,5.0,370,48,92,0.522,26,58,0.448,14,22,0.636,136,5.7
25.0,"Bebee, Will 25 Bebee, Will",25,19.0,344,45,76,0.592,7,21,0.333,15,41,0.366,112,4.5
44.0,"Geiman, Brad 44 Geiman, Brad",25,5.0,413,47,68,0.691,3,11,0.273,19,39,0.487,116,4.6
11.0,"Moynihan, Ant 11 Moynihan, Ant",11,0.0,52,10,39,0.256,6,30,0.2,8,14,0.571,34,3.1
33.0,"Walser, Morgan 33 Walser, Morgan",25,8.0,259,22,58,0.379,21,54,0.389,2,6,0.333,67,2.7
54.0,"Jones, Derek 54 Jones, Derek",24,1.0,89,20,50,0.4,20,50,0.4,0,1,0.0,60,2.5
24.0,"Gulve, Anthony 24 Gulve, Anthony",25,0.0,184,20,46,0.435,19,44,0.432,2,2,1.0,61,2.4
4.0,"Boehm, Griffin 04 Boehm, Griffin",25,10.0,244,10,28,0.357,5,18,0.278,12,22,0.545,37,1.5
42.0,"Brookens, Christian 42 Brookens, Christian",23,4.0,186,13,41,0.317,5,20,0.25,7,14,0.5,38,1.7
3.0,"Breshears, Jackson 03 Breshears, Jackson",18,0.0,63,0,8,0.0,0,7,0.0,1,3,0.333,1,0.1
3.0,"Conran, Jake 03 Conran, Jake",7,0.0,21,0,2,0.0,0,0,0.0,0,2,0.0,0,0.0
23.0,"Dubow, Will 23 Dubow, Will",25,0.0,111,4,8,0.5,0,2,0.0,3,8,0.375,11,0.4
15.0,"Jacobson, Noah 15 Jacobson, Noah",15,0.0,53,4,14,0.286,1,8,0.125,1,2,0.5,10,0.7
45.0,"Keller, Dawson 45 Keller, Dawson",14,0.0,37,1,8,0.125,0,4,0.0,1,2,0.5,3,0.2
12.0,"Leder, Jacob 12 Leder, Jacob",11,0.0,51,1,17,0.059,1,16,0.063,0,0,0.0,3,0.3
3.0,"Vest, Brady 03 Vest, Brady",5,0.0,15,0,5,0.0,0,4,0.0,3,4,0.75,3,0.6
,Total,25,,5000,968,2242,0.432,511,1424,0.359,471,686,0.687,2918,116.72
,Opponents,25,,5000,999,1797,0.556,138,352,0.392,407,622,0.654,2543,101.72
