Name,GP,TO,TO/G
"#05 Curta, Vinny",25,62,2.5
"#21 Qualley, Jackson",25,50,2.0
"#02 Kogelnik, Hannes",25,29,1.2
"#35 Simms, Patrick",25,29,1.2
"#13 Johnson, Ky-Sean",23,24,1.0
"#22 Grumhaus, Tyler",24,21,0.9
"#25 Bebee, Will",25,20,0.8
"#42 Brookens, Christian",23,17,0.7
"#10 Stice, Zachary",25,17,0.7
"#33 Walser, Morgan",25,12,0.5
"#44 Geiman, Brad",25,11,0.4
"#23 Dubow, Will",25,9,0.4
"#04 Boehm, Griffin",25,6,0.2
"#24 Gulve, Anthony",25,5,0.2
"#15 Jacobson, Noah",15,5,0.3
"#11 Moynihan, Ant",11,5,0.5
"#45 Keller, Dawson",14,4,0.3
"#03 Breshears, Jackson",18,3,0.2
"#12 Leder, Jacob",11,3,0.3
"#54 Jones, Derek",24,2,0.1
#TM Team,25,2,0.1
"#03 Conran, Jake",7,1,0.1
"#03 Vest, Brady",5,1,0.2
