Name,GP,STL,STL/G
"#05 Curta, Vinny",25,45,1.8
"#35 Simms, Patrick",25,41,1.6
"#13 Johnson, Ky-Sean",23,37,1.6
"#21 Qualley, Jackson",25,32,1.3
"#02 Kogelnik, Hannes",25,31,1.2
"#25 Bebee, Will",25,26,1.0
"#22 Grumhaus, Tyler",24,22,0.9
"#04 Boehm, Griffin",25,18,0.7
"#42 Brookens, Christian",23,18,0.8
"#10 Stice, Zachary",25,17,0.7
"#23 Dubow, Will",25,15,0.6
"#44 Geiman, Brad",25,13,0.5
"#33 Walser, Morgan",25,12,0.5
"#24 Gulve, Anthony",25,11,0.4
"#15 Jacobson, Noah",15,7,0.5
"#12 Leder, Jacob",11,5,0.5
"#03 Breshears, Jackson",18,3,0.2
"#54 Jones, Derek",24,3,0.1
"#11 Moynihan, Ant",11,3,0.3
"#45 Keller, Dawson",14,1,0.1
"#03 Vest, Brady",5,1,0.2
