Name,GP,BLK,BLK/G
"#44 Geiman, Brad",25,66,2.6
"#25 Bebee, Will",25,39,1.6
"#23 Dubow, Will",25,12,0.5
"#05 Curta, Vinny",25,6,0.2
"#45 Keller, Dawson",14,6,0.4
"#21 Qualley, Jackson",25,5,0.2
"#04 Boehm, Griffin",25,3,0.1
"#02 Kogelnik, Hannes",25,3,0.1
"#54 Jones, Derek",24,2,0.1
"#22 Grumhaus, Tyler",24,1,0.0
"#35 Simms, Patrick",25,1,0.0
"#10 Stice, Zachary",25,1,0.0
