Opponent,Score,First Downs,First Downs,First Downs,First Downs,Rushing,Passing,Passing,Plays-Yards,Return Yards,Turnovers
Opponent,Score,Total,Rush,Pass,Pen,Att-Yards,Comp-Att-Int,Yards,Plays-Yards,Return Yards,Turnovers
St. Olaf College,13-56,18/22,3/8,10/11,5/3,18-66 / 41-169,25-49-3 / 15-28-0,191/181,67-257 / 69-350,137/172,4/0
Trinity Bible (N.D.),6-15,20/9,13/4,7/5,0/0,41-188 / 25-44,17-26-2 / 14-24-2,143/168,67-331 / 49-212,109/33,4/3
St. Norbert College,66-13,11/27,0/22,9/3,2/2,18--8 / 58-333,19-41-3 / 10-16-0,173/146,59-165 / 74-479,29/171,3/0
Ripon College,0-55,8/30,5/23,3/3,0/4,28-57 / 67-364,7-24-4 / 5-7-1,82/81,52-139 / 74-445,76/114,4/3
Monmouth College,49-0,6/22,2/12,4/9,0/1,28-36 / 53-237,11-27-2 / 17-26-1,100/186,55-136 / 79-423,34/20,2/3
Knox,14-56,16/14,2/10,12/4,2/0,30-11 / 43-228,23-42-4 / 13-15-0,255/108,72-266 / 58-336,104/290,4/0
Lake Forest College,6-70,12/31,4/15,6/16,2/0,29-97 / 39-323,13-33-2 / 25-32-1,111/358,62-208 / 71-681,142/108,2/2
Illinois College,30-7,16/17,7/5,6/11,3/1,35-81 / 22-81,17-32-5 / 23-31-0,127/337,67-208 / 53-418,70/41,6/3
Cornell College,20-41,22/14,13/9,9/4,0/1,42-178 / 47-239,20-40-1 / 9-16-1,204/88,82-382 / 63-327,209/100,3/3
Beloit College,35-0,15/22,10/12,5/8,0/2,33-144 / 51-256,13-36-2 / 12-18-0,95/124,69-239 / 69-380,88/82,4/1
