#,Player,GP,Solo,ASST,TOT,TFL-YDS,Sacks-YDS,INT,BU,QBH,FR,FF,KICK,SAF,Bio Link
54,"Slager, Ryan 54 Slager, Ryan",10,87,72,159.0,7.0-32,3.0-18,1,0,0,4,2,0,0,View Bio
11,"Thompson, Hassan 11 Thompson, Hassan",10,33,28,61.0,6.0-17,1.0-2,0,0,1,2,0,1,1,View Bio
4,"Keele, Jeff 4 Keele, Jeff",10,21,35,56.0,6.0-19,3.0-13,0,0,0,1,0,0,0,View Bio
10,"Pavoni, Vinny 10 Pavoni, Vinny",10,31,21,52.0,2.0-5,0-0,2,6,0,1,2,0,0,View Bio
24,"Winter, Reed 24 Winter, Reed",10,40,12,52.0,2.5-24,0-0,1,3,0,0,0,0,0,View Bio
26,"Lim, Ben 26 Lim, Ben",10,24,25,49.0,1.0-4,0-0,0,1,0,1,1,0,0,View Bio
45,"Johnson, Rick 45 Johnson, Rick",9,25,23,48.0,1.0-7,1.0-7,0,2,0,0,1,0,0,View Bio
7,"Hall, Jordan 7 Hall, Jordan",9,27,14,41.0,1.0-1,0-0,1,2,0,0,1,0,0,View Bio
33,"Howard, Luke 33 Howard, Luke",9,13,19,32.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
25,"Knowlton, Brad 25 Knowlton, Brad",10,12,16,28.0,0.5-0,0-0,0,1,0,1,0,0,0,View Bio
9,"McCray, Jelani 9 McCray, Jelani",10,13,7,20.0,0-0,0-0,0,0,0,1,0,0,0,View Bio
55,"Griffin, Elijah 55 Griffin, Elijah",9,7,7,14.0,2.5-21,0-0,0,0,0,0,0,0,0,View Bio
70,"Henehan, Tom 70 Henehan, Tom",8,8,4,12.0,0.5-2,0-0,0,0,0,0,0,0,0,View Bio
15,"Kamimura, Marco 15 Kamimura, Marco",10,7,3,10.0,0-0,0-0,1,0,0,0,0,0,0,View Bio
TM,Team TM Team,6,9,0,9.0,0-0,0-0,0,0,0,1,1,0,0,
75,"Doulaveris, Zis 75 Doulaveris, Zis",9,1,7,8.0,0-0,0-0,0,1,0,0,0,0,0,
17,"Dunn, Carson 17 Dunn, Carson",10,5,2,7.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
8,"Taylor, David 8 Taylor, David",10,6,1,7.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
22,"Msekela, James 22 Msekela, James",8,1,5,6.0,0.5-2,0-0,0,0,0,0,0,0,0,View Bio
56,"Smythurst, El 56 Smythurst, El",10,5,1,6.0,0-0,0-0,0,0,0,0,0,0,0,
59,"Sabah, Clinton 59 Sabah, Clinton",8,3,2,5.0,2.0-4,0-0,0,0,0,0,0,0,0,View Bio
20,20,2,1,2,3.0,1.0-8,1.0-8,0,0,0,0,0,0,0,
3,"Coleman, DJ 3 Coleman, DJ",4,3,0,3.0,1.0-6,1.0-6,0,0,0,0,0,0,0,View Bio
58,"McCarty, Robbie 58 McCarty, Robbie",8,2,1,3.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
66,"Player, No 66 Player, No",1,0,2,2.0,0-0,0-0,0,0,0,0,0,0,0,
12,"Rivera, Seb 12 Rivera, Seb",8,2,0,2.0,0-0,0-0,0,0,0,0,0,0,0,
5,"Bergida, Tony 5 Bergida, Tony",10,1,0,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
1,"Mayfield, Trent 1 Mayfield, Trent",10,0,1,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
79,"Otto, Packard 79 Otto, Packard",8,1,0,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
65,"Riley, Cole 65 Riley, Cole",9,1,0,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
34,"Ross, Alex 34 Ross, Alex",1,0,1,1.0,0.5-2,0-0,0,0,0,0,0,0,0,View Bio
,Total,10,389,311,700.0,35.0-154,10.0-54,6,16,1,12,8,1,1,
,Opponents,10,346,311,657.0,72.0-276,22.0-133,28,56,3,8,8,4,0,
