#,Player,GP,ATT,Gain,Loss,Net,AVG,TD,Long,AVG/G,Bio Link
17.0,"Dunn, Carson 17 Dunn, Carson",10,223,892,58,834,3.7,5,52,83.4,View Bio
4.0,"Keele, Jeff 4 Keele, Jeff",10,1,28,0,28,28.0,0,9,2.8,View Bio
6.0,"Hill, Max 6 Hill, Max",10,11,31,13,18,1.6,0,11,1.8,View Bio
24.0,"Winter, Reed 24 Winter, Reed",10,14,23,12,11,0.8,0,8,1.1,View Bio
,"Rivera, Seb  Rivera, Seb",8,2,3,1,2,1.0,0,3,0.25,
8.0,"Taylor, David 8 Taylor, David",10,3,9,17,-8,-2.7,0,7,-0.8,View Bio
18.0,"Headrick, Connor 18 Headrick, Connor",6,3,0,10,-10,-3.3,0,0,-1.67,View Bio
5.0,"Bergida, Tony 5 Bergida, Tony",10,45,120,145,-25,-0.6,0,20,-2.5,View Bio
,Total,10,302,1106,256,850,2.8,5,52,85.0,
,Opponents,10,446,2451,177,2274,5.1,39,60,227.4,
