Date,Opponent,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Date,Opponent,ATT,YDS,TD,Long,ATT,YDS,TD,Long,YDS,TD,Long,ATT,YDS,TD,Long,ATT,YDS,TD,Long
9/2/2017,St. Olaf College,41,169,4,13,15,181,3,24,181,3,24,2,37,0,28,2,48,0,32
9/9/2017,Trinity Bible (N.D.),25,44,1,8,14,168,0,41,168,0,41,3,33,0,13,0,0,0,0
9/23/2017,St. Norbert College,58,333,4,38,10,146,4,96,146,4,96,3,58,0,25,2,73,1,60
9/30/2017,Ripon College,67,364,7,24,5,81,1,37,81,1,37,1,20,0,20,4,58,0,18
10/7/2017,Monmouth College,53,237,6,31,17,186,1,31,186,1,31,0,0,0,0,3,20,0,14
10/14/2017,Knox,43,228,4,43,13,108,2,25,108,2,25,3,117,0,86,1,1,0,1
10/21/2017,Lake Forest College,39,323,5,60,25,358,5,34,358,5,34,2,44,0,26,2,44,0,31
10/28/2017,Illinois College,22,81,2,17,23,337,2,71,337,2,71,1,18,0,18,0,0,0,0
11/4/2017,Cornell College,47,239,5,31,9,88,1,34,88,1,34,4,100,0,73,0,0,0,0
11/11/2017,Beloit College,51,256,1,48,12,124,4,31,124,4,31,1,13,0,13,1,21,0,21
