Date,Opponent,Result,Score,ATT,Scored,PTS,TDS,TDS,TDS,FGS,FGS,Failed to Score,Failed to Score,Failed to Score,Failed to Score,Failed to Score
Date,Opponent,Result,Score,ATT,Scored,PTS,TOT,Rush,Pass,FGM,FGA,Downs,INT,FUM,Half,Game
9/2/2017,St. Olaf College,L,13-56,1,1,6,1,0,1,0,0,0,0,0,0,0
9/9/2017,Trinity Bible (N.D.),W,15-6,3,1,7,1,1,0,0,0,1,0,1,0,0
9/23/2017,St. Norbert College,L,13-66,1,1,7,1,1,0,0,0,0,0,0,0,0
9/30/2017,Ripon College,L,0-55,0,0,0,0,0,0,0,0,0,0,0,0,0
10/7/2017,Monmouth College,L,0-49,0,0,0,0,0,0,0,0,0,0,0,0,0
10/14/2017,Knox,L,14-56,2,0,0,0,0,0,0,0,1,1,0,0,0
10/21/2017,Lake Forest College,L,6-70,1,1,6,1,0,1,0,0,0,0,0,0,0
10/28/2017,Illinois College,L,7-30,0,0,0,0,0,0,0,0,0,0,0,0,0
11/4/2017,Cornell College,L,20-41,4,2,13,2,2,0,0,0,2,0,0,0,0
11/11/2017,Beloit College,L,0-35,1,0,0,0,0,0,0,0,1,0,0,0,0
,TOTALS,,,13,6,39,6,4,2,0,0,5,1,1,0,0
