Date,Opponent,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Field Goals,Field Goals,Field Goals,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Kickoffs
Date,Opponent,TOT,YDS,AVG,Long,BLKD,TB,FC,50+,IN20,FGM-FGA,Long,BLKD,TOT,YDS,AVG,TB,OB
9/2/2017,St. Olaf College,3,95,31.667,35,0,0,0,0,1,0-0,,0,9,439,48.78,0,0
9/9/2017,Trinity Bible (N.D.),6,189,21.733,47,1,1,0,0,0,0-0,,0,3,97,32.33,0,0
9/23/2017,St. Norbert College,1,44,44.0,44,0,1,0,0,0,1-2,55.0,0,11,658,59.82,7,1
9/30/2017,Ripon College,0,0,0.0,0,0,0,0,0,0,0-1,0.0,0,9,472,52.44,1,1
10/7/2017,Monmouth College,3,104,34.7,43,0,0,0,0,2,0-0,,0,8,481,60.13,5,1
10/14/2017,Knox,3,87,29.0,36,0,0,0,0,2,0-0,,0,9,372,41.33,1,0
10/21/2017,Lake Forest College,1,39,39.0,39,0,0,0,0,0,0-0,,0,11,619,56.27,1,3
10/28/2017,Illinois College,1,35,35.0,35,0,0,0,0,0,1-2,25.0,0,6,361,60.17,2,0
11/4/2017,Cornell College,4,151,37.8,44,0,0,1,0,3,0-1,0.0,0,7,399,57.0,0,0
11/11/2017,Beloit College,3,49,13.5,24,0,0,1,0,0,0-0,,0,6,338,56.33,1,0
