Date,Opponent,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Field Goals,Field Goals,Field Goals,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Kickoffs
Date,Opponent,TOT,YDS,AVG,Long,BLKD,TB,FC,50+,IN20,FGM-FGA,Long,BLKD,TOT,YDS,AVG,TB,OB
9/2/2017,St. Olaf College,6,158,26.3,34,0,0,2,0,1,0-0,,0,3,130,43.33,0,1
9/9/2017,Trinity Bible (N.D.),3,61,22.0,27,0,0,0,0,0,0-0,,0,3,136,45.33,0,0
9/23/2017,St. Norbert College,8,270,33.75,64,0,0,0,1,1,0-0,,0,3,136,45.33,0,0
9/30/2017,Ripon College,6,183,31.5,40,0,0,1,0,0,0-0,,0,1,42,42.0,0,0
10/7/2017,Monmouth College,8,236,29.5,39,0,0,1,0,0,0-0,,0,1,65,65.0,1,0
10/14/2017,Knox,3,79,25.5,28,0,0,0,0,0,0-0,,0,3,138,46.0,0,0
10/21/2017,Lake Forest College,8,239,29.9,45,0,0,0,0,0,0-0,,0,2,97,48.5,0,0
10/28/2017,Illinois College,3,65,21.7,29,0,0,1,0,0,0-0,,0,1,40,40.0,0,0
11/4/2017,Cornell College,4,54,12.0,32,1,0,0,0,0,0-0,,0,4,159,39.75,0,0
11/11/2017,Beloit College,4,122,30.5,48,0,0,1,0,0,0-0,,0,1,43,43.0,0,0
