#,Player,Games Played GP
5,"Bergida, Tony",10
3,"Coleman, DJ",4
75,"Doulaveris, Zisimos",9
55,"Griffin, Elijah",9
60,"Gubner, Kevin",5
7,"Hall, Jordan",9
6,"Hill, Max",10
33,"Howard, Luke",9
45,"Johnson, Rick",9
4,"Keele, Jeff",10
25,"Knowlton, Brad",10
26,"Lim, Ben",10
35,"Maloney, Alec",8
1,"Mayfield, Trent",10
9,"McCray, Jelani",10
22,"Msekela, James",8
79,"Otto, Packard",8
10,"Pavoni, Vinny",10
67,"Pero, Nick",4
87,"Ramay, Anaan",3
65,"Riley, Cole",9
34,"Ross, Alex",1
59,"Sabah, Clinton",8
54,"Slager, Ryan",10
56,"Smythurst, Elijah",10
8,"Taylor, David",10
11,"Thompson, Hassan",10
24,"Winter, Reed",10
17,"Dunn, Carson",10
72,"Gandotra, Rohan",1
18,"Headrick, Connor",6
70,"Henehan, Tom",8
82,"Jaques, Dan",3
52,"Jordan, Nat",4
15,"Kamimura, Marco",10
84,"Karki, Pratik",1
58,"McCarty, Robbie",8
12,"Rivera, Sebastian",8
