#,Player,GP,Rating,COMP,ATT,INT,%,YDS,TD,Long,AVG/G,Bio Link
5.0,"Bergida, Tony 5 Bergida, Tony",10,76.26,153,317,24,48.26 %,1353,7,46,135.3,View Bio
18.0,"Headrick, Connor 18 Headrick, Connor",6,56.41,12,32,4,37.50 %,128,1,30,21.33,View Bio
8.0,"Taylor, David 8 Taylor, David",10,0.0,0,1,0,0.00 %,0,0,0,0.0,View Bio
,Total,10,74.23,165,350,28,47.14 %,1481,8,46,148.1,
,Opponents,10,167.22,143,213,6,67.14 %,1777,23,96,177.7,
