Date,Opponent,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Date,Opponent,ATT,YDS,TD,Long,ATT,YDS,TD,Long,YDS,TD,Long,ATT,YDS,TD,Long,ATT,YDS,TD,Long
9/2/2017,St. Olaf College,18,66,0,18,25,191,2,34,191,2,34,9,137,0,22,0,0,0,0
9/9/2017,Trinity Bible (N.D.),41,188,2,37,17,143,0,18,143,0,18,3,40,0,15,3,37,0,14
9/23/2017,St. Norbert College,18,-8,1,9,19,173,1,34,173,1,34,3,29,0,15,0,0,0,0
9/30/2017,Ripon College,28,57,0,12,7,82,0,27,82,0,27,7,76,0,25,0,0,0,0
10/7/2017,Monmouth College,28,36,0,7,11,100,0,46,100,0,46,2,29,0,17,0,0,0,0
10/14/2017,Knox,30,11,0,7,23,255,2,45,255,2,45,7,92,0,21,1,12,0,12
10/21/2017,Lake Forest College,29,97,0,12,13,111,1,19,111,1,19,7,118,0,24,1,16,0,16
10/28/2017,Illinois College,35,81,0,13,17,127,1,21,127,1,21,4,62,0,24,0,0,0,0
11/4/2017,Cornell College,42,178,2,52,20,204,1,28,204,1,28,7,157,0,47,1,4,0,4
11/11/2017,Beloit College,33,144,0,20,13,95,0,17,95,0,17,5,88,0,30,1,0,0,0
