Statistic,GRINNELL COLLEGE,Opponents OPP
Scoring,Scoring,Scoring
Points Per Game PPG,8.80,46.40
Total TOT,88,464
First Downs,First Downs,First Downs
Rushing RUSH,59,120
Passing PASS,71,74
Penalty PEN,14,14
Total TOT,144,208
Rushing,Rushing,Rushing
Yards Gained YDS,1106,2451
Yards Lost YDL,256,177
Attempts ATT,302,446
Average Per Attempt AVG/ATT,2.8,5.1
Avg. Per Game AVG/G,85.0,227.4
Touchdowns TDS,5,39
Total TOT,850,2274
Passing,Passing,Passing
Att-Comp-Int ATT-CMP-INT,350-165-28,213-143-6
Avg. Per Attempt AVG/ATT,4.23,8.34
Avg. Per Game AVG/G,148.10,177.70
Touchdowns TDS,8,23
Total TOT,1481,1777
Total Offense,Total Offense,Total Offense
Total Plays TOT,652,659
Avg. Per Play AVG/P,3.6,6.1
Avg. Per Game AVG/G,233.1,405.1
Total Yards TOT YDS,2331,4051
Touchdowns TDS,13,66
Returns,Returns,Returns
Kickoff: Average KO: AVG,15.33,22.00
Kickoff: Total KO: TOT,54-828,20-440
Punt: Average P: AVG,9.86,17.67
Punt: Total P: TOT,7-69,15-265
INT: Average INT: AVG,10.17,11.36
INT: Total INT: TOT,6-61,28-318
Kicking,Kicking,Kicking
Punt: Avg. Yards Per Game P: AVG/G,27.68,31.72
Punt: Net Average P: Net AVG,22.68,27.36
Punt: Total Yards P: YDS,53-1467,25-793
FG: Good-Attempts FG: FGM-FGA,0-0,2-6
Onside Kicks Onside K,1-1,0-0
Penalties,Penalties,Penalties
Avg. Per Game (YDS) AVG/G,51.80,62.40
Total-Yards TOT/YDS,60-518,65-624
Time Of Possession,Time Of Possession,Time Of Possession
Avg. Per Game AVG/G,26:35,27:24
Total TOT,04:25:49,04:34:02
Miscellaneous,Miscellaneous,Miscellaneous
3rd Down Conversions 3rd %,46-146 (31.51 %),54-117 (46.15 %)
4th Down Conversions 4th %,10-33 (30.30 %),20-26 (76.92 %)
Fumbles-Lost FUM-Lost,13-8,19-12
Sacks-Yards Lost SCK YDS,10-54,24-141
PAT: Good-Attempts PAT,6-11,62-66
Misc. Yards MISC YDS,0,0
Red Zone: Attempts-Scores RZ: ATT-Score,6-13,48-56
Red Zone: Touchdowns RZ: TDS,6-13,48-56
