#,Player,GP,NO,YDS,AVG,TD,Long,AVG/G,Bio Link
8.0,"Taylor, David 8 Taylor, David",10,48,578,12.04,3,46,57.8,View Bio
17.0,"Dunn, Carson 17 Dunn, Carson",10,55,388,7.05,2,28,38.8,View Bio
6.0,"Hill, Max 6 Hill, Max",10,32,244,7.63,0,20,24.4,View Bio
1.0,"Mayfield, Trent 1 Mayfield, Trent",10,18,183,10.17,3,33,18.3,View Bio
35.0,"Maloney, Alec 35 Maloney, Alec",8,5,45,9.0,0,21,5.63,View Bio
82.0,"Jaques, Dan 82 Jaques, Dan",3,4,36,9.0,0,18,12.0,View Bio
4.0,"Keele, Jeff 4 Keele, Jeff",10,1,14,14.0,0,14,1.4,View Bio
24.0,"Winter, Reed 24 Winter, Reed",10,1,-1,-1.0,0,0,-0.1,View Bio
65.0,"Riley, Cole 65 Riley, Cole",9,1,-6,-6.0,0,0,-0.67,View Bio
,Total,10,165,1481,8.98,8,46,148.1,
,Opponents,10,143,1777,12.43,23,96,177.7,
