#,Player,TD,FG,SAF,Points After Touchdown,Points After Touchdown,Points After Touchdown,Points After Touchdown,Points After Touchdown,PTS,Bio Link
#,Player,TD,FG,SAF,KICK,RUSH,RCV,PASS,DXP,PTS,Bio Link
17.0,"Dunn, Carson 17 Dunn, Carson",7,0,0,0-0,0-0,0,0-0,0,42,View Bio
8.0,"Taylor, David 8 Taylor, David",3,0,0,0-0,0-0,1,0-0,0,20,View Bio
1.0,"Mayfield, Trent 1 Mayfield, Trent",3,0,0,0-0,0-0,0,0-0,0,18,View Bio
87.0,"Ramay, Anaan 87 Ramay, Anaan",0,0,0,3-4,0-0,0,0-0,0,3,View Bio
10.0,"Pavoni, Vinny 10 Pavoni, Vinny",0,0,0,2-4,0-0,0,0-0,0,2,View Bio
11.0,"Thompson, Hassan 11 Thompson, Hassan",0,0,1,0-0,0-0,0,0-0,0,2,View Bio
,"Ramay, Aaan  Ramay, Aaan",0,0,0,1-2,0-1,0,0-0,0,1,
,Total,13,0,1,6-11,0-1,1,1-1,0,88,
,Opponents,66,2,0,62-66,0-0,0,0-0,0,464,
