Stat,Value,Player/Opponent
Rushes,29,Carson Dunn vs Trinity Bible (N.D.) (9/9/2017)
Yards Rushing,171,Carson Dunn vs Trinity Bible (N.D.) (9/9/2017)
TD Rushes,2,Carson Dunn vs Trinity Bible (N.D.) (9/9/2017)
,2,Carson Dunn vs Cornell College (11/4/2017)
Long Rush,52,Carson Dunn vs Cornell College (11/4/2017)
Pass Attempts,47,Tony Bergida vs St. Olaf College (9/2/2017)
Pass Completions,24,Tony Bergida vs St. Olaf College (9/2/2017)
Yards Passing,255,Tony Bergida vs Knox (10/14/2017)
TD Passes,2,Tony Bergida vs St. Olaf College (9/2/2017)
,2,Tony Bergida vs Knox (10/14/2017)
Longest Pass,46,Tony Bergida vs Monmouth College (10/7/2017)
Receptions,9,Carson Dunn vs St. Olaf College (9/2/2017)
,9,David Taylor vs Knox (10/14/2017)
,9,Carson Dunn vs Knox (10/14/2017)
Yards Receiving,130,David Taylor vs Knox (10/14/2017)
TD Receptions,1,David Taylor vs St. Norbert College (9/23/2017)
,1,Trent Mayfield vs Illinois College (10/28/2017)
,1,Trent Mayfield vs St. Olaf College (9/2/2017)
,1,David Taylor vs St. Olaf College (9/2/2017)
,1,Trent Mayfield vs Knox (10/14/2017)
,1,David Taylor vs Knox (10/14/2017)
,1,Carson Dunn vs Lake Forest College (10/21/2017)
,1,Carson Dunn vs Cornell College (11/4/2017)
Longest Reception,46,David Taylor vs Monmouth College (10/7/2017)
Punts,8,Tony Bergida vs Lake Forest College (10/21/2017)
Longest Punt,64,Tony Bergida vs St. Norbert College (9/23/2017)
Longest Punt Return,16,Ben Lim vs Lake Forest College (10/21/2017)
Longest Kickoff Return,47,Reed Winter vs Cornell College (11/4/2017)
Tackles,23,Ryan Slager vs Monmouth College (10/7/2017)
Interceptions,1,Jordan Hall vs Monmouth College (10/7/2017)
,1,Vinny Pavoni vs Trinity Bible (N.D.) (9/9/2017)
,1,Marco Kamimura vs Trinity Bible (N.D.) (9/9/2017)
,1,Reed Winter vs Ripon College (9/30/2017)
,1,Vinny Pavoni vs Lake Forest College (10/21/2017)
,1,Ryan Slager vs Cornell College (11/4/2017)
