#,Player,NO,YDS,AVG,Long,TB,FC,I20,50+,BLK,Bio Link
5.0,"Bergida, Tony 5 Bergida, Tony",30,857,28.57,64,0,2,1,1,1,View Bio
8.0,"Taylor, David 8 Taylor, David",22,601,27.32,40,0,4,1,0,0,View Bio
,Team  Team,1,9,9.0,9,0,0,0,0,0,
,Total,53,1467,27.68,64,0,6,2,1,1,
,Opponents,25,793,31.72,47,2,2,8,0,1,
