Date,Opponent,Tackles,Tackles,Tackles,Tackles,Tackles,Sacks,Sacks,Fumble,Fumble,Fumble,INT,INT,QBH,Pass Brup,Blkd Kick,SAF
Date,Opponent,Solo,AST,TOT,TFL,YDS,TOT,YDS,FF,FR,YDS,TOT,YDS,QBH,Pass Brup,Blkd Kick,SAF
9/2/2017,St. Olaf College,50,10,60,5.0,14,1.0,6,0,0,0,0,0,1,3,0,0
9/9/2017,Trinity Bible (N.D.),23,33,56,4.0,26,2.0,18,1,1,0,2,32,0,1,1,1
9/23/2017,St. Norbert College,45,40,85,4.0,17,1.0,9,0,0,0,0,0,0,3,0,0
9/30/2017,Ripon College,52,18,70,1.0,3,1.0,3,0,2,0,1,0,0,0,0,0
10/7/2017,Monmouth College,37,58,95,2.0,7,0.0,0,1,2,0,1,5,0,3,0,0
10/14/2017,Knox,45,20,65,2.0,2,0.0,0,0,0,0,0,0,0,0,0,0
10/21/2017,Lake Forest College,40,34,74,4.0,42,0.0,0,1,1,0,1,8,0,0,0,0
10/28/2017,Illinois College,25,32,57,3.0,15,2.0,9,3,3,8,0,0,0,2,0,0
11/4/2017,Cornell College,41,14,55,4.0,7,1.0,1,1,2,32,1,16,0,2,0,0
11/11/2017,Beloit College,31,52,83,6.0,21,2.0,8,1,1,0,0,0,0,2,0,0
