#,Player,NO,YDS,AVG,TD,Long,Bio Link
26.0,"Lim, Ben 26 Lim, Ben",6,46,7.67,0,16,View Bio
11.0,"Thompson, Hassan 11 Thompson, Hassan",1,23,23.0,0,0,View Bio
,Total,7,69,9.86,0,16,
,Opponents,15,265,17.67,1,60,
