Statistic,High,Player,Opponent
INNINGS PITCHED,9.0,Tinkham; John Essig; Graham Fisher; Sam Tinkham,Knox College (4/16/2016); Illinois College (4/24/2016); Beloit College (5/13/2016); Monmouth College (4/7/2016); Cornell College (5/5/2016)
RUNS ALLOWED,8.0,Essig; Carr,Washington Uni. (4/3/2016); Cornell College (5/5/2016)
EARNED RUNS,8.0,Carr,Cornell College (5/5/2016)
WALKS ALLOWED,5.0,Mathews; Charles Carr,Central College (4/13/2016); Illinois College (4/23/2016)
STRIKEOUTS,14.0,Andrew Mack,Westminster College (3/5/2016)
HITS ALLOWED,10.0,Fisher; John Essig,Washington Uni. (4/3/2016); St. Norbert College (5/14/2016)
DOUBLES ALLOWED,3.0,Essig,Washington Uni. (4/3/2016)
TRIPLES ALLOWED,2.0,Essig,Greenville (3/22/2016)
HOME RUNS ALLOWED,3.0,Essig,Washington Uni. (4/3/2016)
WILD PITCHES,2.0,Fisher; Charles Carr; Ben Binversie,Washington Uni. (4/3/2016); Monmouth College (4/7/2016); Cornell College (5/13/2016)
HIT BATTERS,3.0,Essig,Washington Uni. (4/3/2016)
