#,Player,ERA,WHIP,W-L,APP-GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,AB,B/AVG,WP,HBP,BK,SFA,SHA,Bio Link
10.0,"Fisher, Graham 10Fisher, Graham",1.47,1.13,7-2,9-8,1,0-3,0,61.1,53,15,10,16,59,11,0,1,238,0.223,5,4,1,0,3,View Bio
28.0,"Tinkham, Sam 28Tinkham, Sam",2.52,0.99,6-1,10-8,3,2-0,0,60.2,47,21,17,13,64,1,0,4,230,0.204,2,1,0,0,6,View Bio
7.0,"Essig, John 7Essig, John",4.04,1.33,6-1,8-8,1,1-1,0,49.0,54,27,22,11,36,8,2,5,193,0.28,1,9,1,1,3,View Bio
23.0,"Reilly, Vince 23 Reilly, Vince",0.0,0.0,0-0,1-0,0,0-0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,View Bio
12.0,"Godinsky, Matt 12Godinsky, Matt",0.68,0.83,1-0,15-0,0,0-3,8,13.1,5,3,1,6,15,2,0,0,48,0.104,1,4,0,0,0,View Bio
42.0,"Binversie, Ben 42 Binversie, Ben",1.08,1.32,2-0,18-0,0,0-1,2,25.0,29,5,3,4,14,3,0,0,96,0.302,2,4,0,2,2,View Bio
13.0,"Mack, Andrew 13Mack, Andrew",1.5,1.08,1-1,2-2,1,0-0,0,12.0,8,2,2,5,20,1,0,1,41,0.195,0,1,1,1,1,View Bio
19.0,"Baumann, Christian 19Baumann, Christian",2.61,1.84,0-0,8-0,0,0-0,1,10.1,13,12,3,6,8,1,0,0,45,0.289,4,0,0,2,1,View Bio
24.0,"Comiskey, Shane 24Comiskey, Shane",5.06,1.13,0-0,6-0,0,0-0,0,10.2,10,6,6,2,1,3,0,0,39,0.256,3,2,0,1,1,View Bio
44.0,"Slattery, Michael 44Slattery, Michael",5.4,1.5,0-0,5-0,0,0-0,0,6.2,8,7,4,2,5,2,0,0,29,0.276,1,3,0,0,0,View Bio
41.0,"Goldsher, Jay 41Goldsher, Jay",5.79,1.71,0-0,8-0,0,0-1,0,9.1,12,8,6,4,5,1,0,1,41,0.293,0,1,0,0,0,View Bio
11.0,"Lopez, Sam 11Lopez, Sam",6.75,1.78,2-1,11-3,0,0-1,0,21.1,33,24,16,5,9,5,0,1,103,0.32,0,3,1,0,1,View Bio
35.0,"Mathews, Noah 35 Mathews, Noah",7.56,2.28,2-1,3-3,0,0-0,0,8.1,12,8,7,7,6,3,0,0,36,0.333,0,0,0,2,0,View Bio
45.0,"Carr, Charles 45 Carr, Charles",8.13,1.84,3-1,7-6,0,0-0,0,27.2,37,29,25,14,13,4,0,6,114,0.325,2,6,0,2,1,View Bio
,Totals,3.48,1.32,30-8,111-38,6,7,11,315.2,321,167,122,95,255,45,2,19,1253,0.256,21,38,4,11,19,
,Opponents,6.26,1.72,8-30,113-38,5,1,2,304.2,386,268,212,137,198,72,12,31,1228,0.314,34,43,6,21,38,
