#,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,Bio Link
10.0,"Fisher, Graham 10 Fisher, Graham",0.426,1.297,37-37,122,34,52,10,2,10,41,96,0.787,17,7,18,2,0.51,3,1,6-8,View Bio
18.0,"Galanek, Sam 18 Galanek, Sam",0.341,0.803,38-38,138,40,47,5,1,1,22,57,0.413,16,1,12,3,0.39,9,2,2-2,View Bio
17.0,"Mack, Anthony 17 Mack, Anthony",0.338,0.99,37-37,139,32,47,11,3,5,39,79,0.568,14,7,19,2,0.422,1,5,8-11,View Bio
5.0,"Takayesu, Niko 5 Takayesu, Niko",0.328,0.886,37-37,125,23,41,13,2,0,21,58,0.464,18,3,12,1,0.422,1,6,5-7,View Bio
36.0,"Hammond, Matt 36 Hammond, Matt",0.312,0.942,36-36,125,27,39,9,2,6,31,70,0.56,14,2,20,4,0.382,3,6,1-1,View Bio
29.0,"Penaflor, Ryan 29 Penaflor, Ryan",0.31,0.742,34-33,129,19,40,6,0,1,18,49,0.38,6,5,15,0,0.362,1,7,2-4,View Bio
12.0,"Godinsky, Matt 12 Godinsky, Matt",0.31,0.936,38-37,126,26,39,6,0,7,30,66,0.524,19,3,31,1,0.412,0,3,3-4,View Bio
24.0,"Comiskey, Shane 24 Comiskey, Shane",0.667,1.417,14-0,3,0,2,0,0,0,0,2,0.667,0,1,0,0,0.75,0,0,0-0,View Bio
34.0,"Cabrera, Julian 34 Cabrera, Julian",0.5,2.167,4-0,2,1,1,0,1,0,1,3,1.5,1,0,0,0,0.667,0,0,0-0,View Bio
26.0,"Shults, Andrew 26 Shults, Andrew",0.391,1.022,22-6,23,5,9,1,1,0,8,12,0.522,4,1,6,0,0.5,0,1,0-1,View Bio
25.0,"Mock, Addison 25 Mock, Addison",0.333,0.821,14-3,21,4,7,1,0,0,2,8,0.381,2,2,4,0,0.44,0,0,0-0,View Bio
44.0,"Slattery, Michael 44 Slattery, Michael",0.303,0.662,28-18,66,11,20,2,0,0,10,22,0.333,2,1,7,3,0.329,1,0,2-2,View Bio
16.0,"Wong, Benjamin 16 Wong, Benjamin",0.282,0.703,19-12,39,9,11,2,0,0,2,13,0.333,5,1,3,1,0.37,1,2,0-1,View Bio
30.0,"Levens, Ravi 30 Levens, Ravi",0.246,0.674,22-17,57,14,14,1,0,1,6,18,0.316,7,3,13,1,0.358,0,1,5-5,View Bio
3.0,"Klar, Coby 3 Klar, Coby",0.205,0.659,27-16,44,13,9,3,0,0,7,12,0.273,9,4,19,0,0.386,0,2,3-3,View Bio
8.0,"Towner, Teague 8 Towner, Teague",0.189,0.474,11-10,37,5,7,2,0,0,3,9,0.243,1,1,6,1,0.231,0,1,1-1,View Bio
40.0,"Zaroban, Nathan 40 Zaroban, Nathan",0.091,0.182,11-0,11,0,1,0,0,0,0,1,0.091,0,0,5,1,0.091,0,0,0-0,View Bio
4.0,"Weaver, Brad 4 Weaver, Brad",0.0,0.2,8-4,12,2,0,0,0,0,0,0,0.0,2,1,5,0,0.2,0,0,0-0,View Bio
6.0,"Bernholtz, Jacob 6 Bernholtz, Jacob",0.0,0.0,10-0,4,3,0,0,0,0,0,0,0.0,0,0,0,1,0.0,0,0,0-0,View Bio
9.0,"Daniel, Noah 9 Daniel, Noah",0.0,0.0,4-1,2,0,0,0,0,0,1,0,0.0,0,0,1,0,0.0,1,1,0-0,View Bio
20.0,"LeSher, Brady 20 LeSher, Brady",0.0,0.0,1-0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0-0,View Bio
23.0,"Reilly, Vince 23 Reilly, Vince",0.0,0.0,1-0,1,0,0,0,0,0,0,0,0.0,0,0,1,0,0.0,0,0,0-0,View Bio
27.0,"Rosol, Ryan 27 Rosol, Ryan",0.0,0.0,1-0,1,0,0,0,0,0,0,0,0.0,0,0,1,0,0.0,0,0,0-0,View Bio
,Totals,0.314,0.864,38-38,1228,268,386,72,12,31,242,575,0.468,137,43,198,21,0.396,21,38,38-50,
,Opponents,0.256,0.666,38-38,1253,167,321,45,2,19,152,427,0.341,95,38,255,20,0.325,11,19,26-34,
