Date,Loc,Opponent,W/L,Score,IP,H,R,ER,BB,SO,2B,3B,HR,WP,BK,HBP,IBB,W,L,SV,ERA
3/5/2016,at,Westminster College,L,0-1,6.0,3,1,1,2,14,0,0,1,0,1,1,0,0,1,0,1.5
3/5/2016,at,Westminster College,W,2-1,9.0,7,1,0,1,11,1,0,0,1,0,1,0,1,1,0,0.0
3/20/2016,vs,St. Norbert College,W,4-0,7.0,2,0,0,0,9,1,0,0,0,0,2,0,2,1,0,0.0
3/20/2016,vs,St. Norbert College,W,6-1,7.0,5,1,1,3,8,1,0,0,0,0,0,0,3,1,0,1.29
3/21/2016,vs,Loras,W,13-3,7.0,8,3,2,1,6,1,0,0,1,0,0,0,4,1,0,2.57
3/22/2016,vs,Greenville,L,1-10,6.0,13,10,5,4,3,3,0,0,1,0,0,0,4,2,0,7.5
3/22/2016,vs,Greenville,W,8-6,7.0,5,6,6,3,3,1,2,1,0,0,2,0,5,2,0,7.71
3/23/2016,vs,Benedictine (Ill.),W,6-3,9.0,6,3,1,2,5,1,0,0,2,0,1,0,6,2,0,1.0
3/25/2016,vs,Fontbonne,L,1-2,9.0,10,2,1,1,8,0,0,0,1,0,0,0,6,3,0,1.0
3/26/2016,vs,St. Olaf College,W,2-1,7.0,5,1,0,1,10,0,0,0,0,0,0,0,7,3,0,0.0
3/26/2016,vs,St. Olaf College,W,5-2,7.0,5,2,2,0,7,2,0,0,1,1,1,0,8,3,0,2.57
3/27/2016,vs,Keuka College,W,8-5,9.0,6,5,0,3,5,0,0,0,0,1,1,0,9,3,0,0.0
3/31/2016,,Simpson College,W,11-5,9.0,10,5,4,3,4,1,0,2,0,0,1,0,10,3,0,4.0
4/2/2016,,Washington Uni.,W,11-10,9.0,20,10,6,5,7,3,0,1,1,0,1,0,11,3,0,6.0
4/3/2016,,Washington Uni.,L,8-15,9.0,18,15,10,5,5,6,0,4,2,0,5,0,11,4,0,10.0
4/3/2016,,Washington Uni.,W,12-6,9.0,12,6,6,6,1,3,0,0,3,0,0,0,12,4,0,6.0
4/7/2016,at,Monmouth College,W,1-0,9.0,0,0,0,0,12,0,0,0,0,0,0,0,13,4,0,0.0
4/7/2016,at,Monmouth College,W,7-4,9.0,8,4,3,4,6,2,0,0,2,0,3,0,14,4,0,3.0
4/9/2016,,Monmouth College,W,6-0,9.0,3,0,0,4,6,1,0,0,0,0,0,0,15,4,0,0.0
4/9/2016,,Monmouth College,W,3-0,9.0,8,0,0,3,6,2,0,0,1,0,2,0,16,4,0,0.0
4/13/2016,at,Central College,W,16-6,7.0,6,6,3,7,1,0,0,0,0,0,1,0,17,4,0,3.86
4/16/2016,,Knox College,W,22-6,7.0,8,6,6,0,5,0,0,2,0,0,1,0,18,4,0,7.71
4/16/2016,,Knox College,W,9-0,9.0,4,0,0,1,10,0,0,0,0,0,0,0,19,4,0,0.0
4/17/2016,at,Knox College,W,14-3,7.0,6,3,3,3,11,1,0,1,0,0,0,0,20,4,0,3.86
4/17/2016,at,Knox College,W,9-3,9.0,12,3,3,2,10,0,0,0,0,0,2,0,21,4,0,3.0
4/20/2016,at,Simpson College,W,15-7,9.0,11,7,4,1,8,1,0,1,1,0,2,0,22,4,0,4.0
4/23/2016,at,Illinois College,W,5-3,9.0,6,3,3,2,12,0,0,1,0,0,0,0,23,4,0,3.0
4/23/2016,at,Illinois College,W,9-3,9.0,6,3,3,7,7,0,0,1,0,0,0,0,24,4,0,3.0
4/24/2016,at,Illinois College,W,6-3,9.0,8,3,3,1,13,2,0,1,1,0,1,0,25,4,0,3.0
4/24/2016,at,Illinois College,W,4-0,9.0,8,0,0,0,11,1,0,0,0,0,0,0,26,4,0,0.0
5/5/2016,at,Cornell College,L,2-3,9.2,6,3,2,0,5,1,0,1,0,0,1,0,26,5,0,1.86
5/5/2016,at,Cornell College,L,4-24,6.0,25,24,19,3,2,1,0,0,0,0,4,0,26,6,0,28.5
5/7/2016,,Cornell College,W,2-0,9.0,7,0,0,3,8,2,0,0,0,1,0,0,27,6,0,0.0
5/7/2016,,Cornell College,W,10-5,9.0,10,5,4,2,6,3,0,1,1,0,1,1,28,6,0,4.0
5/13/2016,vs,Beloit College,L,1-5,9.0,9,5,2,1,5,1,0,0,0,0,0,0,28,7,0,2.0
5/13/2016,vs,Cornell College,W,12-7,9.0,11,7,7,3,2,0,0,1,2,0,2,0,29,7,0,7.0
5/14/2016,at,St. Norbert College,W,11-8,9.0,14,8,7,5,3,1,0,0,0,0,1,0,30,7,0,7.0
5/14/2016,vs,Beloit College,L,2-6,9.0,10,6,5,3,0,2,0,0,0,0,1,1,30,8,0,5.0
Total,,,,268-167,315.2,321,167,122,95,255,45,2,19,21,4,38,2,30,8,0,
