#,Player,ERA,WHIP,W-L,APP-GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,AB,B/AVG,WP,HBP,BK,SFA,SHA,Bio Link
19.0,"Baumann, Christian 19Baumann, Christian",0.0,1.0,0-0,3-0,0,0-0,1,7.0,4,3,0,3,4,0,0,0,26,0.154,1,0,0,2,0,View Bio
23.0,"Reilly, Vince 23 Reilly, Vince",0.0,,0-0,1-0,0,0-0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,View Bio
42.0,"Binversie, Ben 42 Binversie, Ben",0.0,1.15,0-0,5-0,0,0-1,1,6.1,6,0,0,1,6,1,0,0,24,0.25,0,0,0,0,0,View Bio
10.0,"Fisher, Graham 10Fisher, Graham",1.0,1.07,4-0,4-3,0,0-2,0,27.0,20,3,3,9,31,6,0,1,101,0.198,1,1,1,0,1,View Bio
7.0,"Essig, John 7Essig, John",1.24,1.14,4-0,4-4,1,1-1,0,29.0,28,4,4,5,26,4,0,1,110,0.255,1,2,0,0,2,View Bio
28.0,"Tinkham, Sam 28Tinkham, Sam",1.29,0.51,3-1,4-4,3,2-0,0,35.0,15,6,5,3,36,1,0,2,119,0.126,0,1,0,0,4,View Bio
12.0,"Godinsky, Matt 12Godinsky, Matt",1.42,1.31,0-0,6-0,0,0-2,4,6.1,5,2,1,3,9,2,0,0,24,0.208,0,4,0,0,0,View Bio
44.0,"Slattery, Michael 44Slattery, Michael",3.0,1.33,0-0,2-0,0,0-0,0,3.0,4,2,1,0,3,0,0,0,13,0.308,0,1,0,0,0,View Bio
24.0,"Comiskey, Shane 24Comiskey, Shane",6.75,1.36,0-0,1-0,0,0-0,0,2.2,3,2,2,0,0,0,0,0,11,0.273,0,1,0,0,0,View Bio
35.0,"Mathews, Noah 35 Mathews, Noah",9.0,3.0,1-0,1-1,0,0-0,0,3.0,4,3,3,5,0,0,0,0,12,0.333,0,0,0,1,0,View Bio
45.0,"Carr, Charles 45 Carr, Charles",10.69,1.88,2-1,4-4,0,0-0,0,16.0,21,20,19,9,9,1,0,3,65,0.323,2,4,0,2,1,View Bio
41.0,"Goldsher, Jay 41Goldsher, Jay",11.25,2.5,0-0,4-0,0,0-1,0,4.0,8,7,5,2,3,1,0,1,21,0.381,0,1,0,0,0,View Bio
11.0,"Lopez, Sam 11Lopez, Sam",15.19,2.94,1-0,5-1,0,0-1,0,5.1,13,11,9,2,4,0,0,0,34,0.382,0,1,0,0,0,View Bio
,Totals,3.24,1.2,15-2,44-17,4,6,6,144.2,131,63,52,42,131,16,0,8,560,0.234,5,16,1,5,8,
,Opponents,6.0,1.82,2-15,49-17,1,0,0,138.0,184,129,92,67,92,41,3,12,570,0.323,20,26,3,11,17,
