Player,2,3,4,5+,Total
"Fisher, Graham",12,5,-,-,17
"Galanek, Sam",9,4,-,-,13
"Penaflor, Ryan",9,3,1,-,13
"Godinsky, Matt",11,1,-,-,12
"Mack, Anthony",8,2,2,-,12
"Takayesu, Niko",8,2,-,-,10
"Hammond, Matt",7,1,-,-,8
"Slattery, Michael",5,-,-,-,5
"Wong, Benjamin",4,-,-,-,4
"Shults, Andrew",2,-,-,-,2
"Levens, Ravi",2,-,-,-,2
"Klar, Coby",1,-,-,-,1
"Towner, Teague",-,-,1,-,1
TEAM,78,18,4,0,100
