#,Player,C,PO,A,E,FLD%,DP,SBA,CSB,PB,CI,Bio Link
18.0,"Galanek, Sam 18 Galanek, Sam",143,137,6,0,1.0,8,5,1,1,0,View Bio
10.0,"Fisher, Graham 10 Fisher, Graham",58,54,4,0,1.0,2,1,0,0,0,View Bio
17.0,"Mack, Anthony 17 Mack, Anthony",31,31,0,0,1.0,0,0,0,0,0,View Bio
12.0,"Godinsky, Matt 12 Godinsky, Matt",30,28,2,0,1.0,0,1,0,0,0,View Bio
7.0,"Essig, John 7 Essig, John",11,6,5,0,1.0,0,0,1,0,0,View Bio
28.0,"Tinkham, Sam 28 Tinkham, Sam",10,1,9,0,1.0,0,2,1,0,0,View Bio
24.0,"Comiskey, Shane 24 Comiskey, Shane",8,8,0,0,1.0,1,0,0,0,0,View Bio
26.0,"Shults, Andrew 26 Shults, Andrew",6,6,0,0,1.0,0,0,0,0,0,View Bio
29.0,"Penaflor, Ryan 29 Penaflor, Ryan",6,6,0,0,1.0,0,0,0,0,0,View Bio
45.0,"Carr, Charles 45 Carr, Charles",6,2,4,0,1.0,1,1,1,0,0,View Bio
9.0,"Daniel, Noah 9 Daniel, Noah",4,4,0,0,1.0,0,0,0,0,0,View Bio
34.0,"Cabrera, Julian 34 Cabrera, Julian",3,3,0,0,1.0,0,0,0,0,0,View Bio
42.0,"Binversie, Ben 42 Binversie, Ben",1,1,0,0,1.0,0,0,0,0,0,View Bio
36.0,"Hammond, Matt 36 Hammond, Matt",91,85,5,1,0.989,1,5,2,7,0,View Bio
8.0,"Towner, Teague 8 Towner, Teague",27,8,17,2,0.926,4,0,0,0,0,View Bio
16.0,"Wong, Benjamin 16 Wong, Benjamin",12,5,6,1,0.917,1,0,0,0,0,View Bio
5.0,"Takayesu, Niko 5 Takayesu, Niko",82,21,54,7,0.915,7,0,0,0,0,View Bio
3.0,"Klar, Coby 3 Klar, Coby",43,6,31,6,0.86,2,0,0,0,0,View Bio
30.0,"Levens, Ravi 30 Levens, Ravi",51,20,23,8,0.843,2,0,0,0,0,View Bio
44.0,"Slattery, Michael 44 Slattery, Michael",15,2,10,3,0.8,1,0,0,0,0,View Bio
4.0,"Weaver, Brad 4 Weaver, Brad",4,0,3,1,0.75,1,0,0,0,0,View Bio
19.0,"Baumann, Christian 19 Baumann, Christian",1,0,0,1,0.0,0,4,0,0,0,View Bio
11.0,"Lopez, Sam 11 Lopez, Sam",0,0,0,0,0.0,0,1,0,0,0,View Bio
23.0,"Reilly, Vince 23 Reilly, Vince",0,0,0,0,0.0,0,0,0,0,0,View Bio
25.0,"Mock, Addison 25 Mock, Addison",0,0,0,0,0.0,0,0,0,0,0,View Bio
27.0,"Rosol, Ryan 27 Rosol, Ryan",0,0,0,0,0.0,0,0,0,0,0,View Bio
35.0,"Mathews, Noah 35 Mathews, Noah",0,0,0,0,0.0,0,0,0,0,0,View Bio
40.0,"Zaroban, Nathan 40 Zaroban, Nathan",0,0,0,0,0.0,0,0,0,0,0,View Bio
41.0,"Goldsher, Jay 41 Goldsher, Jay",0,0,0,0,0.0,0,0,0,0,0,View Bio
6.0,"Bernholtz, Jacob 6 Bernholtz, Jacob",0,0,0,0,0.0,0,0,0,0,0,View Bio
,Totals,643,434,179,30,0.953,31,20,6,8,0,
,Opponents,607,414,159,34,0.944,27,44,14,5,0,
