#,Player,C,PO,A,E,FLD%,DP,SBA,CSB,PB,CI,Bio Link
12.0,"Godinsky, Matt 12 Godinsky, Matt",64,55,9,0,1.0,1,1,0,0,0,View Bio
24.0,"Comiskey, Shane 24 Comiskey, Shane",17,16,1,0,1.0,2,1,0,0,0,View Bio
7.0,"Essig, John 7 Essig, John",16,8,8,0,1.0,0,4,2,0,0,View Bio
28.0,"Tinkham, Sam 28 Tinkham, Sam",15,3,12,0,1.0,0,3,2,0,0,View Bio
9.0,"Daniel, Noah 9 Daniel, Noah",14,13,1,0,1.0,0,1,0,0,0,View Bio
26.0,"Shults, Andrew 26 Shults, Andrew",13,13,0,0,1.0,0,0,0,0,0,View Bio
42.0,"Binversie, Ben 42 Binversie, Ben",10,1,9,0,1.0,1,0,1,0,0,View Bio
45.0,"Carr, Charles 45 Carr, Charles",9,2,7,0,1.0,1,2,1,0,0,View Bio
11.0,"Lopez, Sam 11 Lopez, Sam",4,1,3,0,1.0,0,3,0,0,0,View Bio
41.0,"Goldsher, Jay 41 Goldsher, Jay",4,2,2,0,1.0,0,4,0,0,0,View Bio
20.0,"LeSher, Brady 20 LeSher, Brady",3,2,1,0,1.0,0,0,0,0,0,View Bio
6.0,"Bernholtz, Jacob 6 Bernholtz, Jacob",3,3,0,0,1.0,0,0,0,0,0,View Bio
13.0,"Mack, Andrew 13 Mack, Andrew",2,0,2,0,1.0,0,1,1,0,0,View Bio
35.0,"Mathews, Noah 35 Mathews, Noah",2,1,1,0,1.0,0,1,0,0,0,View Bio
25.0,"Mock, Addison 25 Mock, Addison",1,1,0,0,1.0,0,0,0,0,0,View Bio
17.0,"Mack, Anthony 17 Mack, Anthony",72,70,1,1,0.986,0,0,0,0,0,View Bio
18.0,"Galanek, Sam 18 Galanek, Sam",326,308,12,6,0.982,18,13,3,4,0,View Bio
36.0,"Hammond, Matt 36 Hammond, Matt",168,149,16,3,0.982,2,11,4,11,0,View Bio
10.0,"Fisher, Graham 10 Fisher, Graham",139,117,18,4,0.971,4,2,1,0,0,View Bio
29.0,"Penaflor, Ryan 29 Penaflor, Ryan",26,25,0,1,0.962,0,0,0,0,0,View Bio
5.0,"Takayesu, Niko 5 Takayesu, Niko",191,49,128,14,0.927,20,0,0,0,0,View Bio
8.0,"Towner, Teague 8 Towner, Teague",52,18,30,4,0.923,9,0,0,0,0,View Bio
16.0,"Wong, Benjamin 16 Wong, Benjamin",50,21,24,5,0.9,4,0,0,0,0,View Bio
34.0,"Cabrera, Julian 34 Cabrera, Julian",10,8,1,1,0.9,0,1,0,0,0,View Bio
30.0,"Levens, Ravi 30 Levens, Ravi",84,32,39,13,0.845,4,0,0,0,0,View Bio
3.0,"Klar, Coby 3 Klar, Coby",63,11,42,10,0.841,2,0,0,0,0,View Bio
44.0,"Slattery, Michael 44 Slattery, Michael",58,17,31,10,0.828,3,0,0,0,0,View Bio
4.0,"Weaver, Brad 4 Weaver, Brad",11,1,6,4,0.636,1,0,0,0,0,View Bio
19.0,"Baumann, Christian 19 Baumann, Christian",2,0,0,2,0.0,0,4,0,0,0,View Bio
23.0,"Reilly, Vince 23 Reilly, Vince",0,0,0,0,0.0,0,0,0,0,0,View Bio
27.0,"Rosol, Ryan 27 Rosol, Ryan",0,0,0,0,0.0,0,0,0,0,0,View Bio
40.0,"Zaroban, Nathan 40 Zaroban, Nathan",0,0,0,0,0.0,0,0,0,0,0,View Bio
,Totals,1429,947,404,78,0.945,26,52,15,15,0,
,Opponents,1360,914,385,61,0.955,28,76,24,9,0,
