Statistic,High,Opponent
AT BATS,41,Simpson College (4/20/2016); Illinois College (4/23/2016); St. Norbert College (5/14/2016)
RUNS SCORED,22,Knox College (4/16/2016)
HITS,18,Simpson College (3/31/2016)
RBIS,19,Knox College (4/16/2016)
DOUBLES,6,Central College (4/13/2016)
TRIPLES,3,Simpson College (3/31/2016)
HOME RUNS,5,Cornell College (5/7/2016)
WALKS,10,Knox College (4/16/2016); Simpson College (4/20/2016)
STRIKEOUTS,11,Beloit College (5/13/2016)
SAC HITS,4,Fontbonne (3/25/2016)
SAC FLIES,3,Illinois College (4/24/2016); Cornell College (5/13/2016)
STOLEN BASES,7,Simpson College (4/20/2016)
HIT BY PITCH,5,Loras (3/21/2016)
CAUGHT STEALING,2,Illinois College (4/24/2016)
HIT INTO DP,2,St. Norbert College (3/20/2016); Simpson College (3/31/2016); Illinois College (4/24/2016); Cornell College (5/7/2016); Monmouth College (4/7/2016)
