Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Fadden, Lucas",SO-2,22.16,Liz Wuertz Indoor Meet,"Feb 17, 2024",NWI
,"Pfister, Caden",FR-1,23.8,Liz Wuertz Indoor Meet,"Feb 17, 2024",NWI
,"Fitzgerald, Keaton",SO-2,24.17,Midwest Conference Indoor Championships,"Feb 23, 2024",NWI
,"Rathburn, Justin",FR-1,24.21,Grinnell Invitational,"Jan 27, 2024",NWI
,"Fornari, Luca",JR-3,24.51,Grinnell Invitational,"Jan 27, 2024",NWI
,"Reed, Jack",FR-1,24.53,Liz Wuertz Indoor Meet,"Feb 17, 2024",NWI
,"James, Xavier",JR-3,24.65,Grinnell Invitational,"Jan 27, 2024",NWI
,"Leisher, Ilem",FR-1,25.06,Grinnell Invitational,"Jan 27, 2024",NWI
,"Block, Owen",FR-1,25.21,Liz Wuertz Indoor Meet,"Feb 17, 2024",NWI
,"Dykstra, Murphy",FR-1,25.83,Grinnell Invitational,"Jan 27, 2024",NWI
,"Milenge, Moise",SO-2,26.26,Liz Wuertz Indoor Meet,"Feb 17, 2024",NWI
,"Barnes, Khairy",FR-1,28.18,Grinnell Invitational,"Jan 27, 2024",NWI
