Date,Opponent,W/L,Score,Overall,Conference,Attend,Goals Scored [Assist]
09/01/2023,vs Coe,W,2-0,"(1-0-0, 0-0-0)",0-0-0,100,Sam Bayliss (1) Anthony Hong (1) (Demi Oni)
9/2/2023,at Eureka,W,3-2,"(2-0-0, 0-0-0)",0-0-0,150,"Bayliss, Sam (2) Bayliss, Sam (3) (Northing, Oliver)  Maddux, Dylan (1) (Oni, Demi)"
09/05/2023,vs Dubuque,L,0-3,"(2-1-0, 0-0-0)",0-0-0,34,
09/09/2023,at Central (IA),T,1-1,"(2-1-1, 0-0-0)",0-0-0,125,Samuel Gojjam (1)
09/10/2023,vs Webster,T,0-0,"(2-1-2, 0-0-0)",0-0-0,52,
09/15/2023,at Neb. Wesleyan,L,0-2,"(2-2-2, 0-0-0)",0-0-0,130,
09/17/2023,vs Fontbonne,W,1-0,"(3-2-2, 0-0-0)",0-0-0,53,Ezra Gould (1)
09/23/2023,at Lake Forest,L,3-4,"(3-3-2, 0-1-0)",0-1-0,200,Caleb Hoereth (1) (Oliver Northing)  Soma Suzuki (1) (Samuel Gojjam)  Jaxon Willoughby (1)
09/24/2023,at Illinois Tech,T,1-1,"(3-3-3, 0-1-0)",0-1-0,50,Samuel Gojjam (2)
09/27/2023,at Knox,L,1-2,"(3-4-3, 0-2-0)",0-2-0,65,Peter Murphy (1) (Dylan Maddux)
09/30/2023,vs Ripon,T,1-1,"(3-4-4, 0-2-1)",0-2-1,50,Oliver Northing (1) (Dylan Maddux)
10/07/2023,vs Illinois Col.,W,1-0,"(4-4-4, 1-2-1)",1-2-1,115,Oliver Northing (2)
10/14/2023,vs Augustana (IL),W,3-0,"(5-4-4, 1-2-1)",1-2-1,50,Samuel Gojjam (3) (Anthony Hong)  Anthony Hong (3) Anthony Hong (3) (Dylan Maddux)
10/15/2023,vs Buena Vista,W,5-1,"(5-4-4, 1-2-1)",1-2-1,78,Dylan Maddux (3) (Billy Cherres)  Oliver Northing (3) (Peter Murphy)  Dylan Maddux (3) (Oliver Northing)  Jimmy Miseda (2) (Billy Cherres)  Jimmy Miseda (2) (Soma Suzuki)
10/17/2023,at Cornell College,T,0-0,"(6-4-5, 1-2-2)",1-2-2,50,
10/21/2023,at Beloit,L,1-2,"(6-5-5, 1-3-2)",1-3-2,50,Caleb Hoereth (2) (Dylan Maddux)
10/25/2023,vs Monmouth (IL),W,6-1,"(7-5-5, 2-3-2)",2-3-2,57,Jaxon Willoughby (2) (Billy Cherres)  Soma Suzuki (2) (Billy Cherres)  Dylan Maddux (4) (Peter Murphy)  Oliver Northing (4) Jimmy Miseda (3) Sam Bayliss (4) (Jaxon Willoughby)
10/28/2023,vs Lawrence,W,5-0,"(8-5-5, 3-3-2)",3-3-2,37,Oliver Northing (5) (Jaxon Willoughby)  Billy Cherres (3) (Ezra Gould)  Billy Cherres (3) (Jaxon Willoughby)  Billy Cherres (3) Dylan Maddux (5) (Anthony Hong)
11/03/2023,at Illinois Col.,W,1-0,"(9-5-5, 3-3-2)",3-3-2,438,Samuel Gojjam (4) (Oliver Northing)
11/04/2023,at Lake Forest,L,0-2,"(9-6-5, 3-3-2)",3-3-2,108,
