Statistic,High,Opponent
POINTS,16,Monmouth (IL) (10/25/2023)
GOALS,6,Monmouth (IL) (10/25/2023)
ASSISTS,5,Buena Vista (10/15/2023)
SHOTS,29,Monmouth (IL) (10/25/2023)
SHOTS ON GOAL,14,Buena Vista (10/15/2023) Lawrence (10/28/2023)
SAVES,12,Webster (09/10/2023)
FOULS,19,Illinois Tech (09/24/2023)
CORNER KICKS,13,Fontbonne (09/17/2023) Beloit (10/21/2023)
