#,Player,GP,GS,MIN,G,A,PTS,SH,SH%,SOG,SOG%,YC-RC,GW,PG-PA,Bio Link
13.0,"Northing, Oliver 13Northing, Oliver",8,7,574,4,1,9,27,0.148,11,0.407,1-0,2,0-0,View Bio
3.0,"Cherres, Billy 3Cherres, Billy",7,6,376,3,2,8,7,0.429,5,0.714,2-1,0,0-0,View Bio
10.0,"Maddux, Dylan 10Maddux, Dylan",8,5,506,2,3,7,12,0.167,4,0.333,1-0,0,0-0,View Bio
15.0,"Willoughby, Jaxon 15Willoughby, Jaxon",5,4,206,2,3,7,4,0.5,2,0.5,0-0,0,0-0,View Bio
23.0,"Hoereth, Caleb 23Hoereth, Caleb",8,8,711,2,0,4,4,0.5,2,0.5,0-0,0,0-0,View Bio
29.0,"Suzuki, Soma 29Suzuki, Soma",7,1,161,2,0,4,5,0.4,2,0.4,2-0,1,0-0,View Bio
5.0,"Murphy, Peter 5Murphy, Peter",8,6,567,1,1,3,11,0.091,4,0.364,1-0,0,0-0,View Bio
20.0,"Bayliss, Sam 20Bayliss, Sam",8,4,288,1,0,2,7,0.143,3,0.429,1-0,0,0-0,View Bio
7.0,"Miseda, Jimmy 7Miseda, Jimmy",8,3,297,1,0,2,12,0.083,4,0.333,1-0,0,0-0,View Bio
11.0,"Gojjam, Samuel 11Gojjam, Samuel",8,5,404,0,1,1,15,0.0,5,0.333,1-0,0,0-0,View Bio
16.0,"Gould, Ezra 16Gould, Ezra",7,6,394,0,1,1,0,0.0,0,0.0,0-0,0,0-0,View Bio
9.0,"Hong, Anthony 9Hong, Anthony",8,4,454,0,1,1,15,0.0,7,0.467,0-0,0,0-1,View Bio
1.0,"Benson, Carter 1Benson, Carter",7,7,567,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
25.0,"Bernardo, Antonio 25Bernardo, Antonio",3,0,82,0,0,0,1,0.0,1,1.0,0-0,0,0-0,View Bio
27.0,"Burns, Caleb 27Burns, Caleb",8,5,360,0,0,0,2,0.0,1,0.5,0-0,0,0-0,View Bio
21.0,"Carne, Wesley 21Carne, Wesley",1,0,9,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
19.0,"Fahmy, Nick 19Fahmy, Nick",3,0,53,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
2.0,"Huang, Ryan 2Huang, Ryan",6,2,247,0,0,0,2,0.0,1,0.5,0-0,0,0-0,View Bio
0.0,"Kolmer, Jefferson 0Kolmer, Jefferson",1,0,14,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
0.0,"Kunkel, Jayson 00Kunkel, Jayson",3,1,139,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
4.0,"Larson, Evan 4Larson, Evan",8,8,618,0,0,0,1,0.0,0,0.0,1-0,0,0-0,View Bio
8.0,"Milenge, Moise 8Milenge, Moise",4,0,45,0,0,0,1,0.0,1,1.0,2-0,0,0-0,View Bio
17.0,"Oni, Demi 17Oni, Demi",8,0,173,0,0,0,7,0.0,0,0.0,1-0,0,0-0,View Bio
6.0,"Serby, Zak 6Serby, Zak",8,6,514,0,0,0,8,0.0,2,0.25,1-1,0,0-0,View Bio
12.0,"Wilson, Owen 12Wilson, Owen",4,0,86,0,0,0,1,0.0,0,0.0,0-0,0,0-0,View Bio
28.0,"Zhou, David 28Zhou, David",2,0,20,0,0,0,1,0.0,0,0.0,0-0,0,0-0,View Bio
,Total,8,-,7865,18,13,49,143,0.126,55,0.385,31-4,3,0-1,
,Opponent,8,-,7878,10,4,24,83,0.12,35,0.422,42-2,3,3-4,
