Statistic,Grinnell,Opponents OPP
Shots,Shots,Shots
Goals G,35,22
Goals Per Game G/AVG,1.75,1.10
Shots SH,315,236
Shots Per Game SH/AVG,15.8,11.8
Shots Percentage SH%,0.111,0.093
Shots On Goal SOG,136-315,106-236
Shots On Goal Percentage SOG%,0.432,0.449
Penalties,Penalties,Penalties
Yellow Cards YC,31,42
Red Cards RC,4,2
Miscellaneous,Miscellaneous,Miscellaneous
Assists A,24,13
Saves S,84,101
Fouls F,228,258
Corner Kicks CK,143,82
Penalty Kicks: Goals-Attempts PG-PA,0-4,4-6
