Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
09/01/2023,Coe,2-0,90:00,0,0.0,1,1.0,1,0,0,1,5
9/2/2023,Eureka,3-2,90:00,2,1.0,6,0.75,1,0,0,0,13
09/05/2023,Dubuque,0-3,90:00,3,1.67,6,0.667,0,1,0,0,14
09/09/2023,Central (IA),1-1,90:00,1,1.5,1,0.5,0,0,1,0,9
09/10/2023,Webster,0-0,90:00,0,1.2,12,1.0,0,0,1,1,23
09/15/2023,Neb. Wesleyan,0-2,90:00,2,1.33,7,0.778,0,1,0,0,16
09/17/2023,Fontbonne,1-0,90:00,0,1.14,2,1.0,1,0,0,1,8
09/23/2023,Lake Forest,3-4,90:00,4,1.5,3,0.429,0,1,0,0,12
09/24/2023,Illinois Tech,1-1,90:00,1,1.44,4,0.8,0,0,1,0,18
09/27/2023,Knox,1-2,90:00,2,1.5,4,0.667,0,1,0,0,12
09/30/2023,Ripon,1-1,90:00,1,1.45,4,0.8,0,0,1,0,9
10/07/2023,Illinois Col.,1-0,90:00,0,1.33,2,1.0,1,0,0,1,10
10/14/2023,Augustana (IL),3-0,90:00,0,1.23,4,1.0,1,0,0,1,7
10/15/2023,Buena Vista,5-1,90:00,1,1.21,4,0.8,1,0,0,0,10
10/17/2023,Cornell College,0-0,90:00,0,1.13,2,1.0,0,0,1,1,10
10/21/2023,Beloit,1-2,90:00,2,1.19,2,0.5,0,1,0,0,7
10/25/2023,Monmouth (IL),6-1,90:00,1,1.18,4,0.8,1,0,0,0,15
10/28/2023,Lawrence,5-0,90:00,0,1.11,4,1.0,1,0,0,1,8
11/03/2023,Illinois Col.,1-0,110:00,0,1.04,6,1.0,1,0,0,1,17
11/04/2023,Lake Forest,0-2,90:00,2,1.09,2,0.5,0,1,0,0,12
Totals,,-,1820,22,1.09,80,0.784,9,6,5,8,235
Opponent,,-,1820:00,35,1.73,99,0.739,6,9,5,5,315
