Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
09/01/2023,Coe,0-2,0,0,0,5,0.0,1,0.2,3-0,0,0-0,990
9/2/2023,Eureka,2-3,2,1,5,14,0.143,8,0.571,6-0,0,0-1,988
09/05/2023,Dubuque,3-0,3,3,9,14,0.214,9,0.643,3-1,1,0-0,991
09/09/2023,Central (IA),1-1,1,1,3,9,0.111,6,0.667,1-0,0,0-0,990
09/10/2023,Webster,0-0,0,0,0,23,0.0,12,0.522,1-0,0,0-0,987
09/15/2023,Neb. Wesleyan,2-0,2,3,7,16,0.125,9,0.563,0-0,1,0-0,990
09/17/2023,Fontbonne,0-1,0,0,0,8,0.0,2,0.25,3-0,0,0-0,990
09/23/2023,Lake Forest,4-3,4,2,10,12,0.333,7,0.583,4-0,1,0-0,950
09/24/2023,Illinois Tech,1-1,1,1,3,18,0.056,5,0.278,1-0,0,0-0,990
09/27/2023,Knox,2-1,2,1,5,12,0.167,6,0.5,5-0,1,0-0,990
09/30/2023,Ripon,1-1,1,0,2,9,0.111,5,0.556,0-0,0,1-2,990
10/07/2023,Illinois Col.,0-1,0,0,0,10,0.0,2,0.2,2-1,0,0-0,990
10/14/2023,Augustana (IL),0-3,0,0,0,7,0.0,4,0.571,0-0,0,0-0,990
10/15/2023,Buena Vista,1-5,1,0,2,10,0.1,5,0.5,2-0,0,1-1,990
10/17/2023,Cornell College,0-0,0,0,0,10,0.0,2,0.2,4-0,0,0-0,990
10/21/2023,Beloit,2-1,2,1,5,7,0.286,4,0.571,2-0,1,1-1,990
10/25/2023,Monmouth (IL),1-6,1,0,2,15,0.067,5,0.333,1-0,0,1-1,988
10/28/2023,Lawrence,0-5,0,0,0,8,0.0,4,0.5,1-0,0,0-0,990
11/03/2023,Illinois Col.,0-1,0,0,0,17,0.0,6,0.353,1-0,0,0-0,1210
11/04/2023,Lake Forest,2-0,2,0,4,12,0.167,4,0.333,2-0,1,0-0,990
Total,,22-35,22,13,57,236,0.093,106,0.449,42-2,6,4-6,19974
Grinnell,,-,35,24,94,315,0.111,136,0.432,31-4,9,-,19948
