Date,Opponent,Score,G,A,Shots,On Goal,Corners,YC,RC
09/01/2023,vs Coe,2-0,2/0,1/0,13/5,4/1,7/5,1/3,0/0
9/2/2023,at Eureka,3-2,3/2,2/1,13/14,5/8,5/3,2/6,1/0
09/05/2023,vs Dubuque,0-3,0/3,0/3,16/14,7/9,9/4,2/3,0/1
09/09/2023,at Central (IA),1-1,1/1,0/1,12/9,8/6,6/5,1/1,0/0
09/10/2023,vs Webster,0-0,0/0,0/0,17/23,6/12,7/6,1/1,0/0
09/15/2023,at Neb. Wesleyan,0-2,0/2,0/3,7/16,4/9,4/6,1/0,0/0
09/17/2023,vs Fontbonne,1-0,1/0,0/0,20/8,7/2,13/2,4/3,0/0
09/23/2023,at Lake Forest,3-4,3/4,2/2,11/12,6/7,9/0,7/4,0/0
09/24/2023,at Illinois Tech,1-1,1/1,0/1,17/18,11/5,3/9,0/1,0/0
09/27/2023,at Knox,1-2,1/2,1/1,12/12,4/6,5/2,2/5,1/0
09/30/2023,vs Ripon,1-1,1/1,1/0,23/9,8/5,9/0,0/0,0/0
10/07/2023,vs Illinois Col.,1-0,1/0,0/0,13/10,4/2,7/5,2/2,1/1
10/14/2023,vs Augustana (IL),3-0,3/0,2/0,10/7,9/4,5/6,2/0,0/0
10/15/2023,vs Buena Vista,5-1,5/1,5/0,21/10,14/5,9/6,0/2,0/0
10/17/2023,at Cornell College,0-0,0/0,0/0,19/10,5/2,3/5,1/4,0/0
10/21/2023,at Beloit,1-2,1/2,1/1,10/7,3/4,13/1,0/2,0/0
10/25/2023,vs Monmouth (IL),6-1,6/1,4/0,29/15,11/5,12/4,1/1,0/0
10/28/2023,vs Lawrence,5-0,5/0,4/0,26/8,14/4,10/1,2/1,0/0
11/03/2023,at Illinois Col.,1-0,1/0,1/0,11/17,5/6,7/7,2/1,0/0
11/04/2023,at Lake Forest,0-2,0/2,0/0,15/12,1/4,0/5,0/2,1/0
Totals,,,35/22,24/13,315/236,136/106,143/82,31/42,4/2
