#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO/CBO,SF,Bio Link
1.0,"Benson, Carter 1Benson, Carter",16,16,1306:37,18,1.24,50,0.735,7.0,5.0,3.0,3/4,160,View Bio
0.0,"Kolmer, Jefferson 0Kolmer, Jefferson",2,1,104:03,1,0.86,4,0.8,1.0,0.0,0.0,0/1,10,View Bio
0.0,"Kunkel, Jayson 00Kunkel, Jayson",7,3,409:20,3,0.66,26,0.897,1.0,1.0,2.0,1/4,65,View Bio
,Total,20,-,1820:00,22,1.09,80,0.784,9.0,6.0,5.0,8,235,
,Opponents,20,-,1820:00,35,1.73,99,0.739,,,,5,315,
