#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO/CBO,SF,Bio Link
1.0,"Benson, Carter 1Benson, Carter",7,7,566:37,8,1.27,18,0.692,3.0,2.0,2.0,1/2,66,View Bio
0.0,"Kolmer, Jefferson 0Kolmer, Jefferson",1,0,14:03,0,0.0,0,0.0,0.0,0.0,0.0,0/1,0,View Bio
0.0,"Kunkel, Jayson 00Kunkel, Jayson",3,1,139:20,2,1.29,7,0.778,0.0,1.0,0.0,0/2,17,View Bio
,Total,8,-,720:00,10,1.25,25,0.714,3.0,3.0,2.0,3,83,
,Opponents,8,-,720:00,18,2.25,37,0.673,,,,1,143,
