School,Conf,Overall,CPts,CPct.,Pct.,Streak,Home,Away,Neutral
Illinois Col.*^,5-1-2,10-5-3,17,.750,.639,L1,6-1-2,4-4-1,0-0
Cornell College*,4-2-2,6-8-5,14,.625,.447,L1,4-3-3,2-4-2,0-1
Lake Forest*,3-1-4,7-9-4,13,.625,.450,L1,4-4-1,1-3-3,2-2
Grinnell*,3-3-2,9-6-5,11,.500,.575,L1,7-1-2,2-4-3,0-1
Beloit,3-3-2,3-10-2,11,.500,.267,L2,2-5,1-5-2,0-0
Knox,2-2-4,6-6-5,10,.500,.500,T1,5-1-3,1-5-2,0-0
Monmouth (IL),2-4-2,3-11-2,8,.375,.250,L3,3-4,0-7-2,0-0
Ripon,1-3-4,6-4-7,7,.375,.559,T2,5-2-2,1-2-5,0-0
Lawrence,0-4-4,0-10-6,4,.250,.188,L1,0-4-6,0-6,0-0
