School,Conf,Overall,CPts,CPct.,Pct.,Streak,Home,Away,Neutral
Lake Forest* ^,7-0-1,10-8-3,22,.938,.548,L1,7-3-1,3-5-2,0-0
Illinois Col.*,7-1,13-5-2,21,.875,.700,L1,5-2-1,8-3,0-0-1
Knox*,4-2-2,7-7-4,14,.625,.500,T2,4-1,3-6-3,0-0-1
Grinnell*,4-2-2,8-6-5,14,.625,.553,L1,3-2-3,5-4-2,0-0
Ripon,4-3-1,13-6-1,13,.562,.675,T1,6-3-1,7-3,0-0
Cornell College,2-5-1,4-12-1,7,.312,.265,L6,2-6,2-6-1,0-0
Lawrence,1-5-2,2-11-4,5,.250,.235,L5,1-6-2,1-5-2,0-0
Monmouth (IL),1-6-1,3-11-2,4,.188,.250,W1,1-3-2,2-8,0-0
Beloit,1-7,2-16,3,.125,.111,L6,2-8,0-8,0-0
