School,Conf,Overall,CPts,CPct.,Pct.,Streak,Home,Away,Neutral
St. Norbert College#*,9-0,17-1-1,27,1.000,.921,L1,10-1,7-0-1,0-0
Knox*,8-1,16-5-1,24,.889,.750,L1,9-2,6-3-1,1-0
Cornell College*,6-2-1,14-3-2,19,.722,.789,L2,8-1-1,6-1-1,0-1
Lake Forest*,6-3,10-7-1,18,.667,.583,L1,6-3,4-4,0-0-1
Grinnell,5-4,8-7,15,.556,.533,W1,4-5,4-2,0-0
Monmouth (IL),4-4-1,7-7-1,13,.500,.500,W1,5-3,2-4-1,0-0
Illinois Col.,2-6-1,5-12-1,7,.278,.306,L2,3-3-1,2-9,0-0
Beloit,2-7,4-13-1,6,.222,.250,L2,2-7-1,2-6,0-0
Lawrence,1-8,4-14,3,.111,.222,L1,2-6,2-5,0-3
Ripon,0-8-1,3-12-1,1,.056,.219,L6,2-7,1-5-1,0-0
