School,Conf,Overall,CPts,CPct.,Pct.,Streak,Home,Away,Neutral
Knox^ *,7-1,12-7,21,.875,.632,L1,9-1,3-6,0-0
Cornell College*,7-1,15-4,21,.875,.789,L1,7-1,7-3,1-0
Grinnell*,6-2,11-8,18,.750,.579,L1,7-1,3-5,1-2
Lawrence*,5-3,8-11,15,.625,.421,L2,5-4,3-7,0-0
Lake Forest,4-4,4-13-1,12,.500,.250,L4,2-7,2-5-1,0-1
Illinois Col.,3-5,10-7-1,9,.375,.583,W1,5-4-1,5-3,0-0
Beloit,2-6,4-10-1,6,.250,.300,L2,3-6,1-4-1,0-0
Ripon,1-7,4-13-1,3,.125,.250,L2,3-6-1,1-7,0-0
Monmouth (IL),1-7,1-12-2,3,.125,.133,W1,0-5-1,1-7-1,0-0
