School,Conf,Overall,CPts,CPct.,Pct.,Streak,Home,Away,Neutral
St. Norbert College*,8-0-1,14-4-2,25,.944,.750,L1,6-1-2,8-2,0-1
Knox*,8-0-1,13-3-4,25,.944,.750,L1,4-1-1,8-2-3,1-0
Lake Forest*,7-2,12-7-1,21,.778,.625,L1,5-2-1,5-5,2-0
Grinnell*,6-3,9-9-1,18,.667,.500,L1,6-3,3-5-1,0-1
Illinois Col.,4-4-1,9-8-1,13,.500,.528,W1,4-7,5-1-1,0-0
Cornell College,4-5,8-9-1,12,.444,.472,L1,5-3,3-6-1,0-0
Monmouth (IL),2-5-2,3-13-2,8,.333,.222,L2,2-5-1,1-8-1,0-0
Beloit,2-6-1,5-10-1,7,.278,.344,W1,3-4-1,2-6,0-0
Ripon,0-8-1,2-14-2,1,.056,.167,L4,2-7-1,0-7-1,0-0
Lawrence,0-8-1,2-14-1,1,.056,.147,L1,1-8,1-6-1,0-0
