School,Conf,Overall,CPts,CPct.,Pct.,Streak,Home,Away,Neutral
Lake Forest^*,5-1-2,8-9-3,17,.750,.475,L1,5-1-3,3-5,0-3
Grinnell*,5-2-1,10-8-1,16,.688,.553,L1,3-4-1,6-4,1-0
Ripon*,4-2-2,8-8-3,14,.625,.500,L2,6-1-1,2-6-2,0-1
Knox*,4-3-1,5-11-1,13,.562,.324,L1,5-3,0-8-1,0-0
Cornell College,3-3-2,8-6-3,11,.500,.559,W2,8-3,0-3-3,0-0
Beloit,2-2-4,3-8-4,10,.500,.333,L1,3-3-2,0-5-2,0-0
Illinois Col.,2-5-1,9-8-2,7,.312,.526,W1,4-3-2,5-5,0-0
Lawrence,1-4-3,2-10-5,6,.312,.265,L1,2-5-3,0-5-2,0-0
Monmouth (IL),2-6,4-11-2,6,.250,.294,W1,4-5,0-5-1,0-1-1
