School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Lake Forest,0-0,.000,3-0,1.000,W3,2-0,1-0,0-0
Knox,0-0,.000,2-0,1.000,W2,1-0,1-0,0-0
Lawrence,0-0,.000,0-0-1,.500,T1,0-0-1,0-0,0-0
Illinois Col.,0-0,.000,1-4-1,.250,L3,1-2-1,0-2,0-0
Ripon,0-0,.000,0-3-1,.125,T1,0-2,0-1-1,0-0
Cornell College,0-0,.000,0-0,.000,,0-0,0-0,0-0
