Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Goodell, Brian",SR-4,8:40.12,Wartburg Qualifier,"Mar 1, 2024"
,"Robinson, Luke",SO-2,8:42.20,Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Ramsey, Bradley",SR-4,8:56.68,Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Miller, John",SO-2,8:57.53,Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Heagy, Connor",SO-2,9:13.26,Hilltop Invitational,"Jan 20, 2024"
,"Snyder, James",SO-2,9:30.17,Darren Young Classic,"Feb 10, 2024"
,"Manza, Sebastian",FR-1,9:35.27,Darren Young Classic,"Feb 10, 2024"
,"Krysan, Mark",JR-3,9:51.76,Hilltop Invitational,"Jan 20, 2024"
,"Hill, Ryan",FR-1,9:54.96,Grinnell Invitational,"Jan 27, 2024"
,"Beck, Sam",FR-1,9:57.99,Darren Young Classic,"Feb 10, 2024"
,"Ching, Tyler",SO-2,10:02.20,Darren Young Classic,"Feb 10, 2024"
,"Pollock, Alexander",FR-1,10:05.58,Liz Wuertz Indoor Meet,"Feb 17, 2024"
