0,1,2,3
Grinnell College,329,37,1st
Vrishali Sinha,75,2,1st
Vidushi Sinha,76,3,2nd
Danielle Oberlander,84,11,t-3rd
Julia Echikson,94,21,t-15th
Samanike Hengst,96,23,20th
