0,1,2,3,4,5
Grinnell,314,309,623,47,4th
Vidushi Sinha,71,70,141,-3,1st
Vrishali Sinha,75,73,148,4,t-2nd
Danielle Oberlander,82,78,160,16,t-25th
Samanike Hengst,86,88,174,30,71st
Julia Echikson,91,90,181,37,t-82nd
