0,1,2,3,4,5,6
Grinnell College,326,333,327,986,110,1st
Vidushi Sinha,72,78,76,226,7,1st
Vrishali Sinha,78,80,74,232,13,2nd
Samanike Hengst,84,90,88,262,43,7th
Danielle Oberlander,92,85,89,266,47,t-11th
Julia Echikson,94,95,96,285,66,t-23rd
