Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"November 15, 2013 (Friday)",7:00 p.m.,Home,Central College,"Grinnell, IA/Darby Gymnasium",,,,"L,71-80",Box ScoreRecap
"November 20, 2013 (Wednesday)",7:30 p.m.,Home,Wartburg College,"Grinnell, IA/Darby Gymnasium",,,,"L,53-81",Box ScoreRecap
"November 23, 2013 (Saturday)",3:00 p.m.,Away,Illinois College,"Jacksonville, IL",,,,"L,58-72",Box ScoreRecap
"November 30, 2013 (Saturday)",3:00 p.m.,Away,Beloit College,"Beloit, WI",,,,"L,67-95",Box ScoreRecap
"December 4, 2013 (Wednesday)",7:00 p.m.,Home,Monmouth College,"Grinnell, IA/Darby Gymnasium",,,,"L,49-61",Box ScoreRecap
"December 7, 2013 (Saturday)",3:00 p.m.,Home,St. Norbert College,"Grinnell, IA/Darby Gymnasium",,,,"L,57-80",Box ScoreRecap
"December 9, 2013 (Monday)",5:30 p.m.,Home,Benedictine College (Kan.),"Grinnell, IA/Darby Gymnasium",,,,"L,57-71",Box ScoreRecap
"December 30, 2013 (Monday)",5:00 p.m.,Away,California Institute of Technology,"Pasadena, CA",,,Caltech Tournament,"W,79-56",Box ScoreRecap
"December 31, 2013 (Tuesday)",5:00 p.m.,Away,Claremont-Mudd-Scripps Colleges,"Claremont, CA",,,Caltech Tournament,"L,58-72",Box ScoreRecap
"January 4, 2014 (Saturday)",3:00 p.m.,Away,Ripon College,"Ripon, WI",,,,"L,65-79",Box ScoreRecap
"January 8, 2014 (Wednesday)",7:30 p.m.,Home,Knox College,"Grinnell, IA/Darby Gymnasium",,,,"L,99-104",Box ScoreRecap
"January 11, 2014 (Saturday)",3:00 p.m.,Home,Carroll University,"Grinnell, IA/Darby Gymnasium",,,,"L,72-73",Box ScoreRecap
"January 14, 2014 (Tuesday)",7:30 p.m.,Away,Cornell College,"Mount Vernon, IA",,,,"L,55-79",Box ScoreRecap
"January 18, 2014 (Saturday)",3:00 p.m.,Away,Lawrence University,"Appleton, WI",,,,"W,62-48",Box ScoreRecap
"January 22, 2014 (Wednesday)",7:00 p.m.,Home,Illinois College,"Grinnell, IA/Darby Gymnasium",,,,"L,52-61",Box ScoreRecap
"January 25, 2014 (Saturday)",3:00 p.m.,Home,Ripon College,"Grinnell, IA/Darby Gymnasium",,,,"L,52-66",Box ScoreRecap
"January 28, 2014 (Tuesday)",7:00 p.m.,Away,Monmouth College,"Monmouth, IL",,,,"L,43-85",Box ScoreRecap
"February 1, 2014 (Saturday)",3:00 p.m.,Away,Lake Forest College,"Lake Forest, IL",,,,"L,44-73",Box ScoreRecap
"February 5, 2014 (Wednesday)",7:30 p.m.,Away,Knox College,"Galesburg, IL",,,,"L,89-91",Box ScoreRecap
"February 8, 2014 (Saturday)",4:10 p.m.,Home,Beloit College,"Grinnell, IA/Darby Gymnasium",,,,"L,51-77",Box ScoreRecap
"February 15, 2014 (Saturday)",3:00 p.m.,Away,St. Norbert College,De Pere. WI,,,,"L,51-64",Box ScoreRecap
"February 19, 2014 (Wednesday)",7:30 p.m.,Home,Cornell College,"Grinnell, IA/Darby Gymnasium",,,,"L,46-91",Box ScoreRecap
"February 22, 2014 (Saturday)",3:00 p.m.,Home,Lawrence University,"Grinnell, IA/Darby Gymnasium",,,,"W,66-50",Box ScoreRecap
