0,1,2,3,4,5,6,7,8,9,10,11
,,,Low Tournaments,Low Tournaments,Low Tournaments,Low,Finish Top,Finish Top,Finish Top,Finish Top,
Season,Rounds,Strokes,54-holes,36-holes,18-holes,Round,Events,1,5,10,Average
2011,14,1248,269,163,89,80,7,-,-,2,89.1
2012,12,1045,-,168,84,82,7,-,3,5,87.1
2013,14,1266,271,167,92,79,7,-,-,2,90.4
2014,8,737,278,178,-,85,4,-,-,1,92.1
Totals,48,4296,269,163,84,79,25,-,3,10,89.5
