Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Colter, Hannah",SR,19:42.68,Spartan Open,"May 1, 2010"
,"Meisles, Diane",SR,20:31.04,Spartan Open,"May 1, 2010"
,"Whitfield, Rachel",SR-4,20:53.67,2010 ASICS Winthrop Invitational,"Mar 25, 2010"
,"Horan, Olivia",SR,21:05.35,Spartan Open,"May 1, 2010"
,"Colter, Nora",SR-4,21:11.50,Spartan Open,"May 1, 2010"
,"Graber, Sachi",SR,21:14.42,2010 ASICS Winthrop Invitational,"Mar 25, 2010"
,"Whitfield, Rachel",SR-4,21:31.40,Spartan Open,"May 1, 2010"
,"Vautin, Jacqueline",,21:48.44,2010 ASICS Winthrop Invitational,"Mar 25, 2010"
,"Kundakjian, Stefanie",,22:04.20,2010 ASICS Winthrop Invitational,"Mar 25, 2010"
,"Wheeler, Lindsey",SR-4,25:42.59,2010 ASICS Winthrop Invitational,"Mar 25, 2010"
