Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Miller, Isabelle",,2:31.59,2010 ASICS Winthrop Invitational,"Mar 25, 2010"
,"Leslie, Frances",SR-4,2:31.83,Kip Janvrin Open,"Apr 22, 2010"
,"Leslie, Frances",SR-4,2:31.94,Spartan Open,"May 1, 2010"
,"Tempest, Annie",SR,2:32.87,Spartan Open,"May 1, 2010"
,"Tempest, Annie",SR,2:32.94,Kip Janvrin Open,"Apr 22, 2010"
,"Tempest, Annie",SR,2:33.59,Central Open,"May 7, 2010"
,"Leslie, Frances",SR-4,2:34.14,Central Open,"May 7, 2010"
,"Leslie, Frances",SR-4,2:35.39,2010 ASICS Winthrop Invitational,"Mar 25, 2010"
,"Bisignano, Catherine",SR,2:38.34,Kip Janvrin Open,"Apr 22, 2010"
,"Bates, Sam",,2:39.00,Kip Janvrin Open,"Apr 22, 2010"
,"Bates, Sam",,2:40.78,2010 ASICS Winthrop Invitational,"Mar 25, 2010"
,"Bates, Sam",,2:41.02,Spartan Open,"May 1, 2010"
