Statistic,High,Player,Opponent
AT BATS,6,Quinton McNitt; Riley Guieb; Luke Porter; Jared Booth; Sean Richardson,Monmouth (Ill.) (5/1/2021); Illinois College (4/17/2021); Knox College (4/24/2021); Monmouth (Ill.) (5/2/2021); Knox College (5/16/2021)
RUNS SCORED,4,S. Richardso; Jared Booth; Riley Guieb,Monmouth (Ill.) (4/18/2021); Monmouth (Ill.) (5/1/2021); Knox College (4/24/2021)
HITS,4,Q. McNitt; Quinton McNitt; Brock Weirather; Jared Booth,Monmouth (Ill.) (4/18/2021); Monmouth (Ill.) (5/1/2021); Cornell College (5/11/2021); Knox College (4/24/2021); Cornell College (5/13/2021)
RBIS,4,M. Inaba; Brock Weirather; Sean Richardson,Monmouth (Ill.) (4/18/2021); Knox College (4/24/2021); Cornell College (5/13/2021)
DOUBLES,2,Jared Booth,Knox College (4/24/2021); Knox College (4/24/2021)
TRIPLES,1,Brock Weirather; Jared Booth,Knox College (4/25/2021); Knox College (4/25/2021); Cornell College (5/15/2021)
HOME RUNS,1,R. Guieb; Riley Guieb; Jared Booth; Brock Weirather; Luke Porter,Monmouth (Ill.) (4/18/2021); Monmouth (Ill.) (4/18/2021); Monmouth (Ill.) (5/1/2021); Illinois College (5/9/2021); Illinois College (5/9/2021)
WALKS,3,Zeke Taylor,Cornell College (5/13/2021)
STRIKEOUTS,3,Nate L'esperance,Cornell College (5/5/2021)
SAC HITS,3,Sean Richardson,Knox College (5/16/2021)
SAC FLIES,1,B. Weirather; Riley Guieb; Jonathan Gottlieb; Brock Weirather; Jared Booth,Monmouth (Ill.) (4/18/2021); Knox College (4/25/2021); Monmouth (Ill.) (5/1/2021); Illinois College (5/9/2021); Cornell College (5/11/2021)
STOLEN BASES,3,Riley Guieb,Knox College (4/24/2021)
HIT BY PITCH,2,Jared Booth; Justin Williams; Quinton McNitt,Illinois College (4/17/2021); Knox College (4/24/2021); Illinois College (5/8/2021); Cornell College (5/13/2021); Knox College (5/16/2021)
CAUGHT STEALING,1,Sean Richardson; Riley Guieb; Matthew Inaba; Nate LEsperance,Cornell College (5/11/2021); Illinois College (4/17/2021); Illinois College (4/17/2021); Monmouth (Ill.) (5/2/2021); Illinois College (5/8/2021)
HIT INTO DP,1,Jared Booth; Riley Guieb; Nate L'esperance; Sean Richardson,Knox College (4/25/2021); Knox College (4/25/2021); Monmouth (Ill.) (5/1/2021); Monmouth (Ill.) (5/1/2021); Cornell College (5/11/2021)
