Player,Longest,Current
"Richardson, Sean",20,-
"Booth, Jared",19,1
"McNitt, Quinton",11,11
"Inaba, Matthew",10,2
"Weirather, Brock",9,9
"Taylor, Zeke",9,9
"Borberg, Evan",9,9
"L'Esperance, Nate",8,5
"Porter, Luke",7,1
"Guieb, Riley",6,6
"King, Cooper",5,5
"Williams, Justin",5,1
"Gottlieb, Jonathan",4,4
"Nasif, Garrett",3,3
"Brown, Ian",2,2
"Hadding, Lucas",1,-
"Gillespie, Jack",1,-
