#,Player,ERA,WHIP,W-L,APP-GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,AB,B/AVG,WP,HBP,BK,SFA,SHA,Bio Link
32.0,"Witte, Josh 32Witte, Josh",3.96,1.16,3-0,5-2,0,0-0,0,25.0,19,11,11,10,39,1,1,4,93,0.204,2,3,0,0,2,View Bio
10.0,"Weirather, Brock 10 Weirather, Brock",4.11,1.2,2-2,5-5,1,1-0,0,35.0,34,16,16,8,39,7,3,4,136,0.25,1,4,0,0,3,View Bio
15.0,"Jungers, Ryan 15Jungers, Ryan",5.81,1.67,2-2,5-5,0,0-0,0,26.1,33,20,17,11,20,6,0,2,108,0.306,2,5,1,2,3,View Bio
19.0,"Pine, Ezra 19 Pine, Ezra",0.0,0.67,0-0,2-0,0,0-0,0,3.0,0,0,0,2,3,0,0,0,8,0.0,0,1,0,0,0,View Bio
24.0,"Borberg, Evan 24Borberg, Evan",0.0,1.2,0-0,2-0,0,0-0,0,1.2,2,0,0,0,3,0,0,0,7,0.286,0,0,0,0,0,View Bio
8.0,"Lu, Nate 8 Lu, Nate",4.22,1.31,1-0,7-0,0,0-0,0,10.2,9,6,5,5,7,1,0,2,41,0.22,0,1,0,0,0,View Bio
40.0,"Moeller, Ryan 40 Moeller, Ryan",4.73,1.65,1-1,5-2,0,0-0,0,13.1,10,9,7,12,13,3,0,0,51,0.196,1,2,0,1,1,View Bio
20.0,"Bartusek, Seth 20 Bartusek, Seth",5.56,1.59,0-0,5-0,0,0-0,0,11.1,16,8,7,2,12,2,1,0,49,0.327,2,3,0,0,1,View Bio
31.0,"Jack, Ryan 31Jack, Ryan",5.91,1.83,1-0,5-5,0,0-0,0,21.1,18,18,14,21,37,4,0,0,83,0.217,4,2,1,1,0,View Bio
3.0,"Nasif, Garrett 3Nasif, Garrett",6.63,1.63,1-2,6-1,0,0-0,1,19.0,26,22,14,5,28,4,1,1,85,0.306,1,2,0,2,0,View Bio
23.0,"Hull, Jake 23Hull, Jake",7.2,2.6,1-0,4-0,0,0-0,0,5.0,11,4,4,2,5,1,0,0,23,0.478,1,0,0,0,1,View Bio
22.0,"Lubelfeld, Daniel 22 Lubelfeld, Daniel",7.5,1.67,1-0,6-0,0,0-0,1,6.0,2,5,5,8,11,1,0,0,20,0.1,3,0,0,0,0,View Bio
13.0,"Chang, Ryan 13 Chang, Ryan",7.65,1.6,1-0,6-4,1,0-0,1,20.0,24,17,17,8,9,5,1,2,77,0.312,1,4,1,1,3,View Bio
16.0,"Lane, Simon 16Lane, Simon",9.0,2.6,1-1,4-0,0,0-0,1,5.0,5,8,5,8,4,1,0,0,21,0.238,0,2,1,0,1,View Bio
18.0,"Richman, Will 18Richman, Will",13.5,1.5,1-0,1-0,0,0-0,0,2.0,3,3,3,0,2,0,0,1,9,0.333,0,2,0,0,0,View Bio
41.0,"Gottlieb, Jonathan 41Gottlieb, Jonathan",13.5,3.0,0-0,1-0,0,0-0,0,1.1,2,2,2,2,2,0,1,1,6,0.333,0,1,0,0,0,View Bio
7.0,"Guieb, Riley 7 Guieb, Riley",27.0,5.0,0-0,1-0,0,0-0,0,1.0,4,3,3,1,1,1,0,1,7,0.571,1,0,0,0,0,View Bio
9.0,"Lavery, Alex 9Lavery, Alex",27.0,4.0,0-0,2-0,0,0-0,0,1.0,0,3,3,4,0,0,0,0,0,0.0,2,0,0,2,0,View Bio
,Totals,5.75,1.57,16-8,72-24,2,1,4,208.0,218,155,133,109,235,37,8,18,824,0.265,21,32,4,9,15,
,Opponents,7.38,1.79,8-16,75-24,3,2,2,205.3,281,192,169,86,118,46,3,17,864,0.325,19,37,2,11,19,
