Statistic,High,Opponent
INNINGS PITCHED,10.0,Monmouth (Ill.) (5/2/2021)
RUNS ALLOWED,16.0,Monmouth (Ill.) (5/1/2021)
EARNED RUNS,15.0,Monmouth (Ill.) (5/1/2021)
WALKS ALLOWED,8.0,Monmouth (Ill.) (4/18/2021); Cornell College (5/5/2021); Illinois College (4/17/2021)
STRIKEOUTS,18.0,Knox College (5/16/2021)
HITS ALLOWED,17.0,Monmouth (Ill.) (4/18/2021)
DOUBLES ALLOWED,4.0,Illinois College (4/17/2021); Illinois College (4/17/2021)
TRIPLES ALLOWED,2.0,Monmouth (Ill.) (4/18/2021)
HOME RUNS ALLOWED,4.0,Monmouth (Ill.) (4/18/2021)
WILD PITCHES,3.0,Monmouth (Ill.) (5/2/2021); Knox College (5/16/2021)
HIT BATTERS,4.0,Monmouth (Ill.) (5/1/2021)
